serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
85223/E-13,,1968.04.25,D-EDOM DE153,DH.82A Tiger Moth,de Havilland Aircraft Co Ltd,"Cowley, UK",OY-DYJ
6309,1964,1964.09.25,Cancelled 2008.06.24,Schleicher Ka 6CR Rhönsegler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-EDX
E.2094,1987,2004.06.17,SE-DRD G-CSJH (N410XV) (G-5-094),BAe 146 Srs. 200,British Aerospace PLC,"Hatfield, UK",OY-RCB
,,,Cancelled,,,,OY-9133
210,1957,2010.10.08,HB-SUK,Gardan GY-201 Minicab,"Gardan, Yves","Pau, France",OY-MIN
44164,1976,1986.12.10,D-KEFP,Scheibe SF 25C Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XYP
30-1418,1966,1968.12.13,G-AVKL N8284Y,Piper PA-30-160 Twin Comanche B,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DHL
28-7790591,1977,1977.09.27,Cancelled 1989.12.20,Piper PA-28-181 Cherokee Archer II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BTL
,,,,,,,OY-XDB (1)
4192,1968,1972.03.22,D-4424,Schleicher Ka 6E Rhönsegler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XEU
202,1949,1950.03.15,Cancelled 1952.07.28,S.A.I. KZ VIII,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-ACB
6273,1964,1964.04.30,Cancelled 1978.06.08,Schleicher Ka 6CR Rhönsegler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-DLX
,,1986.,Cancelled NTU,Hoffmann H 36 Dimona,Hoffmann Flugzeugbau GmbH,,OY-XYE
FR172J0384,1973,2003.10.17,D-ECWG,Reims/Cessna FR172J Rocket,Cessna Aircraft Company,"Reims, France",OY-NET
22088,2008,2008.12.15,Cancelled 2010.07.06,Agusta A109S Grand,AgustaWestland,"Cascina Costa, Italy",OY-HLA
BB-521,1979,1979.06.21,(N220GK),Beech 200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-CBL
44615,1996,2007.05.16,D-KTIW,Scheibe SF 25C Rotax-Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XZY
FR172J0479,1974,1974.04.09,Cancelled 1998.01.19,Reims/Cessna FR172J Rocket,Cessna Aircraft Company,"Reims, France",OY-BFO
FR172E0016,1967,1968.04.25,(F-WLIP),Reims/Cessna FR172E Rocket,Cessna Aircraft Company,"Reims, France",OY-AHO
1289,1991,2004.11.18,SX-AEK F-GRBE EC-FFM F-GKVJ,SOCATA TB-9 Tampico,SOCATA,"Tarbes, France",OY-TEK
,,,Cancelled,,,,OY-9421
46141,1970,1976.01.30,D-KCAH,Scheibe SF 25B Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XDX
,,,Cancelled,,,,OY-9415
,,,Cancelled,,,,OY-9308
,,,Cancelled,,,,OY-9416
20129C,1976,1977.10.25,OH-488,PIK-20B,Polyteknikkojen Ilmailukerho,"Lahti, Finland",OY-XIH
,,,,,,,OY-XET (1)
139TS,2021,2021.07.02,Cancelled,Schempp-Hirth Ventus 3T,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-XII(1)
374,1988,2002.11.29,OH-748,Schempp-Hirth Ventus c,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-IXI
392,1963,1964.03.20,Cancelled 2009.01.21,Scheibe Bergfalke II/55,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-DGX
10952,1969,1969.05.14,Cancelled 2006.06.14,SOCATA MS.892A Rallye Commodore 150,SOCATA,"Tarbes, France",OY-DJG
8323,2000,2000.07.18,Cancelled 2010.01.12,Rolladen-Schneider LS8-18,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-JOX
8242,1999,1999.03.25,Cancelled 2010.02.08,Rolladen-Schneider LS8-a,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-FXF
20301,1980,1980.02.29,Cancelled 2010.03.22,Schleicher ASW 20,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XKT
,,,,,,,OY-XBE (1)
2005-08/82420,2010,2015.03.25,Cancelled,Van's RV-8,Van's Aircraft Inc,"Dragør, Denmark",OY-RVC
4965,2010,2010.06.14,(F-WJXC),Eurocopter AS 350B3+ Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HUB
763-96,1995,2010.06.28,HB-KEW N69BB,Bellanca 8KCAB Decathlon,Bellanca Aircraft Corporation,"Rochester, WI, USA",OY-LUN
6177,1963,1964.09.25,Cancelled 2010.06.03,Schleicher Ka 6CR Rhönsegler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-DJX
28712,2004,2010.06.22,G-CKJA BGA5117/KJA D-6051 D-0001,Schleicher ASW 28-18,"Schleicher Segelflugzeugbau, A.","Poppenhausen, Germany",OY-JXA
R18201399,1980,2010.06.28,N4714S,Cessna TR.182 Turbo Skylane-RG,Cessna Aircraft Company,"Wichita, KS, USA",OY-WHL
,1976,1984.12.12,D-GATE PH-EEO N718R,Partenavia P.68B Victor,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-CEY
302,1994,1999.05.05,SE-UKZ,Schempp-Hirth HS-6 Janus Ce,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-LEX
2452,1991,1996.11.15,N907R N901BA,Aérospatiale AS 350B2 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HER
760101,1980,2000.01.06,G-CHCD G-CBJB N288SP C-GIMN YV-326C,Sikorsky S-76A,Sikorsky Aircraft,"Stratford, CT, USA",OY-HEZ
127,1978,1978.06.22,Cancelled 1981.07.29,ICA-Brasov IS-28B2,ICA-Brasov,"Brasov, Romania",OY-XJG
,,,Cancelled,,,,OY-9404
1G235-23,,2010.02.08,LY-BIG UkrAF Red 48,Antonov An-2T,Antonov,,OY-ZAC
102,1954,1967.05.23,D-5394,Scheibe Bergfalke II,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-BXN
,,,Cancelled,,,,OY-9408
,2008,2010.05.21,OM-7777,Schempp-Hirth Discus 2cT,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-GLX
34-7350110,1973,2004.01.09,D-GLAN N15932,Piper PA-34-200 Seneca,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-MCF
18261164,1972,2002.10.25,D-EEXT N20734,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-ICF
,,,,,,,OY-CHD (2)
,,,Cancelled,,,,OY-9406
,,,Cancelled,,,,OY-9403
1295,2010,2010.05.04,Cancelled,Lindstrand LBL 77A,Lindstrand Balloons Ltd,"Oswestry, UK",OY-JOY
504,1997,2010.05.05,C-FXBO N357PH C-GFRP,DHC-8 Series 202,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-GRG
4378,2008,2008.09.22,Cancelled 2010.03.23,Robinson R22 Beta II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HIK
47522,1983,2001.10.03,PT-HXC N77UT,Bell 222U,Bell Helicopter Textron Inc,"Forth Worth, TX, USA",OY-HIC
488,1997,2010.05.05,C-GCTX N350PH C-GFQL,DHC-8 Series 202,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-GRH
,,,Cancelled,,,,OY-9401
,,,Cancelled,,,,OY-9396
,,,Cancelled,,,,OY-9388
,,,Cancelled,,,,OY-9383
,,,Cancelled,,,,OY-9362
,,,Cancelled,,,,OY-9375
515,1997,2010.04.26,F-GVIJ F-WKVK VT-ADP(2) F-WQNN I-ADLI F-OHFN F-WWLP,Aeritalia/SNIAS ATR 42-500,Avions de Transport Regional,"Toulouse, France",OY-RUF
44725,2010,2010.04.20,Cancelled,Scheibe SF 25C Rotax-Falke,Scheibe Flugzeugbau GmbH,"Heubach, Germany",OY-HLX
29612,2010,2010.04.13,Cancelled,Schleicher ASG 29E,"Schleicher Segelflugzeugbau, A.","Poppenhausen, Germany",OY-XVO
22,1974,1974.09.12,Cancelled 2009.12.02,Partenavia P.68 Victor,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-DJV
4568,1986,1986.05.07,Cancelled 2009.06.11,Rolladen-Schneider LS4,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-XYL
45,1970,2001.04.04,D-0442,Rolladen-Schneider LS1-c,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-CLX
38-79A0233,1979,1994.11.21,SE-KNI N2570C,Piper PA-38-112 Tomahawk,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-VIG
138,2004,2009.03.31,(OY-VIK) OE-IVK F-WWFP,Dassault Falcon 900EX,Dassault Aviation,"Merignac, France",OY-IVK
,,,,,,,OY-VIK (2)
,,,,,,,OY-MAM (1)
18281478,2004,2008.06.12,N134PB N65796,Cessna 182T Skylane,Cessna Aircraft Company,"Independence,KS, USA",OY-TLG
CE-1437,1990,1990.03.02,Cancelled 1992.03.26,Beech F33A Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-GEZ
,,,Cancelled,,,,OY-9414
,,,Cancelled,,,,OY-9397
MA-190,1967,1967.06.15,Cancelled 2000.06.29,Beech A23-24 Musketeer Super,Beech Aircraft Corporation,"Wichita, KS, USA",OY-DKF
F17201682,1978,1978.05.24,(D-EIIC),Reims/Cessna F172N Skyhawk,Cessna Aircraft Company,"Reims, France",OY-AJM
,,,Cancelled,,,,OY-9405
172S10533,2007,2007.09.10,N2334P,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-EBI
12680,2009,2009.09.03,Cancelled 2009.12.07,Robinson R44 Raven II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HEU
3219,2002,2005.07.05,N328RS (N457FJ) N328RS (D-BMUU) (B-3893) D-BDXU,Dornier 328-310,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-NCP
,,,,,,,OY-CCH (1)
1101,,2009.,HB-FQA(11),Pilatus PC-12/47E,Pilatus Flugzeugwerke AG,"Stans, Switzerland",OY-PNG
BL-13,1980,1993.08.03,PH-ILG,Beech 200C Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-JAR
1467,1977,1982.05.17,D-7438,Grob G 102 Astir CS,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-XLR
525A-0331,2006,2006.12.22,N5148B,Cessna 525A Citationjet CJ2,Cessna Aircraft Company,"Wichita, KS, USA",OY-REN
10835,2005,2005.08.08,Cancelled 2010.01.06,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HIN
M-677,1965,1987.03.31,D-EHWU,Beech A23 Musketeer,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BYT
4608100,1987,1988.02.17,Cancelled 1992.11.20,Piper PA-46-310P Malibu,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CES
760183,1981,1999.06.25,G-BVCX N951L (N183MD) N951L N5450M,Sikorsky S-76A,Sikorsky Aircraft,"Stratford, CT, USA",OY-HIW
9706-9,2005,2005.10.21,(OY-LEN),Giles G-200,AkroTech,"Gadstrup, Denmark",OY-IIL
550-0071,1979,2002.12.20,(OY-GMB) CS-DCI N404BF (N404BV) N404BF C-GDPD N4308G,Cessna 550 Citation II,Cessna Aircraft Company,"Wichita, KS, USA",OY-GMK
34402,2007,2007.06.13,Cancelled 2009.12.07,Boeing 737-7K9,Boeing Company,"Renton, WA, USA",OY-MRR
34401,2007,2007.04.04,Cancelled 2009.12.08,Boeing 737-7K9,Boeing Company,"Renton, WA, USA",OY-MRP
1474,1977,1977.03.25,Cancelled 2008.11.18,Grob G 102 Astir CS,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-XHA
27153,2001,2002.03.20,D-3127,Schleicher ASW 27,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-SPX
,,,Cancelled,,,,OY-9384
590.A.09.012,2009,2009.11.18,Cancelled,SZD-59 Acro,PZL-Bielsko,"Bielsko-Biala, Poland",OY-TOX
569G,1975,1975.04.30,Cancelled 2009.11.03,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Mindelheim, W.Germany",OY-XCT
17.04.011,1996,1996.03.14,Cancelled 2009.05.04,PZL-Swidnik PW-5 Smyk,PZL-Swidnik S.A.,"Swidnik, Poland",OY-XUC
10637,1982,1994.09.23,G-JEAF VH-EWW PH-EXE,Fokker F.27 Friendship Srs. 500,Fokker B.V.,"Amsterdam, Holland",OY-SRD
173,2001,2009.11.26,N673BA F-WWVR,Dassault Falcon 2000,Dassault Aviation,"Merignac, France",OY-SIR
,,,Cancelled,,,,OY-9333
34-7250017,1971,1987.01.27,G-AZJB N1036U,Piper PA-34-200 Seneca,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-FRA
4018,2000,2000.,C-FDHU,DHC-8 Series 402,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-KCC
1876,2007,2009.09.10,N768SR,Cirrus SR 20,Cirrus Design Corporation,"Duluth, MN, USA",OY-NHH
6243,1984,2009.09.08,D-KARK LN-GMS,Grob G 109B,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-TUX
,,,Cancelled,,,,OY-9389
20278,1980,2009.08.14,D-KFGE,PIK-20E,Polyteknikkojen Ilmailukerho,"Lahti, Finland",OY-KXG
210,2009,2009.08.11,Cancelled,Schempp-Hirth Duo Discus T,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-HXD
B-2014,1992,1993.04.01,Cancelled 2009.05.05,SZD-51-1 Junior,Polskie Zaklady Lotnicze,"Bielsko-Biala, Poland",OY-XSN
,1969,1989.08.16,LN-GIE SE-TIE D-0362,Glasflügel H.201B Standard Libelle,"Glasflügel, Ing. Eugen Hänle","Schlattstall, W.Germany",OY-XPT
1096,1976,1976.03.23,Cancelled 2009.02.03,Grob G 102 Astir CS,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-XDN
36322,1991,2004.07.14,D-KMPC,Hoffmann HK 36R Super Dimona,Hoffmann Flugzeugbau GmbH,"Friesach, Austria",OY-SXD
F150-0243,1967,2005.08.08,D-ECNU,Reims/Cessna F150H,Cessna Aircraft Company,"Reims, France",OY-LCF
36.830,2008,2008.12.19,Cancelled,HOAC HK-36TTC Super Dimona,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-XZR
1112,1976,1976.03.24,Cancelled 2003.02.14,Grob G 102 Astir CS,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-XDE
4089,2006,2006.07.10,(F-WWXB),Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HGR
47519,1984,1998.05.29,D-HCED C-FVUZ JA9961 N8154Q VH-LAJ,Bell 222U,Bell Helicopter Textron Inc,"Forth Worth, TX, USA",OY-HIB
04-96/6-2357,2011,2011.04.11,Cancelled,Zenith Zodiac CH 601 HD,Zenith Aircraft Company,"Espergærde, Denmark",OY-LKA
,,,Cancelled,,,,OY-9351
44722,2009,2009.08.07,Cancelled,Scheibe SF 25C Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-TKX
2007-010/7027,2009,2009.07.03,Cancelled,Rotorway Exec 162F,Rotorway International,"Horsens, Denmark",OY-HWW
,,2007.11.29,Cancelled,Rotorway Exec 162F,Rotorway International,,OY-HTT
,,2002.10.15,Cancelled,Van's RV-7,Van's Aircraft Inc,,OY-RVZ
0199/M-II-1994,2010,2010.10.20,Cancelled,Mustang II,Mustang Aeronautics,"Herlufmagle, Denmark",OY-IKA
,,1995.03.08,Cancelled,Brändli BX-2 Cherry,"Brändli, Max",,OY-JBO
12749,2009,2009.05.18,Cancelled,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HHG
21853,2009,2009.05.13,Cancelled,Schleicher ASK 21,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-TRX
35014,1991,2002.05.03,OE-9374,Grob G 103C Twin III SL,"Grob-Werke GmbH & Co, KG","Mindelheim, W.Germany",OY-XVG
20845,1986,2009.03.09,SE-UEE,Schleicher ASW 20C,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-UXE
12698,2009,2009.04.29,Cancelled,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HTC
27834,1995,1995.02.24,Cancelled 1998.11.23,Boeing 737-3L9,Boeing Company,"Renton, WA, USA",OY-MAS
F15000712,1971,1985.10.08,D-ECHX,Reims/Cessna F150L,Cessna Aircraft Company,"Reims, France",OY-CFE
12484,2008,2009.04.20,G-CFKC,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HLH
574,1975,1984.02.15,CX-BIM/FAU-572 N2785R,Fairchild-Hiller FH-227B,Fairchild-Hiller Corporation,"Hagerstown, MD",OY-CCC
,,,Cancelled,,,,OY-9339
,,,,,,,OY-PPP (2)
12430,2008,2009.02.03,G-CFEU,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HYG
268,1990,1991.01.28,Cancelled 1994.03.24,Schempp-Hirth HS-6 Janus C,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XSA
36.655,1999,2009.03.19,(OY-RIX(2)) SE-UDE OE-9419,Diamond HK 36TC Super Dimona TTC 115,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-XWB
335,1975,2001.07.24,D-9483,Rolladen-Schneider LS1-f,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-PXJ
4024,2000,2000.,C-GERL,DHC-8 Series 402,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-KCE
,,,,,,,OY-JPJ (1)
,,,Cancelled,,,,OY-9332
,,,Cancelled,,,,OY-9365
2218,1979,2006.06.12,D-3831,Grob G 102 Astir CS Jeans,"Grob-Werke GmbH & Co, KG","Mattsies, Germany",OY-CHX
4255,1982,2004.04.02,OE-5306,Rolladen-Schneider LS4,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-ZLX
36271,1988,2003.07.23,D-KLUG,Hoffmann H 36 Dimona,Hoffmann Flugzeugbau GmbH,"Wiener-Neustadt, Østrig",OY-HOX
4661,2009,2009.04.29,(F-WWXS),Eurocopter AS 350B3+ Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HUA
28237,2001,2001.02.14,Cancelled 2009.02.13,Boeing 737-8Q8,Boeing Company,"Renton, WA, USA",OY-SED
,,,Cancelled,,,,OY-9364
,,,Cancelled,,,,OY-9372
,1958,1968.06.26,Z-981 98-981,Schleicher Ka 7 Rhönadler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XFB
8-399B298X60,2008,2009.02.16,Cancelled,DG-808C,DG Flugzeugbau GmbH,"Bruchsal, Germany",OY-OTX
,,,Cancelled,,,,OY-9370
,,,Cancelled,,,,OY-9381
,,,Cancelled,,,,OY-9350
4857,1992,1993.02.02,Cancelled 2009.01.21,Rolladen-Schneider LS4-b,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-XTF
F15201527,1978,1978.10.30,(D-EFED),Reims/Cessna F152,Cessna Aircraft Company,"Reims, France",OY-BNA
F17202161,1982,1982.11.11,Cancelled 1983.09.28,Reims/Cessna F172P Skyhawk,Cessna Aircraft Company,"Reims, France",OY-SUG
36.824,2008,2009.01.08,Cancelled,Diamond HK 36TC Super Dimona TC 100,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-XZV
nil,1939,1945.08.18,Cancelled 1945.10.01,Schempp Gö 1 Wolf,Schempp,"Rønne, Denmark",OY-83
,,,Cancelled,,,,OY-9355
,,,Cancelled,,,,OY-9373
4697122,,2002.01.17,N53450,Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LAW
36.826,2008,2009.01.26,Cancelled,Diamond HK 36TC Super Dimona TTC 115,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-EXN
1574,2008,2008.12.17,Cancelled,Eurocopter EC 120B Colibri,Eurocopter S.A.,"Marignane, France",OY-HYY
4400,2008,2008.11.13,Cancelled,Robinson R22 Beta II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HTB
12479,2008,2008.11.13,Cancelled,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HTA
3083,1997,2005.08.23,D-CIAC 5N-SPC D-CDXO 5N-SPC D-CDXO,Dornier 328-100,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-NCC
9507-4037,2008,2008.11.12,Cancelled,Van's RV-4,Van's Aircraft Inc,Horsens,OY-ERD
172S10760,2008,2008.11.03,N62951,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-JLT
,,,Cancelled,,,,OY-9361
,,,Cancelled,,,,OY-9367
28-7405083,1974,1975.11.10,SE-GAH,Piper PA-28-180 Cherokee Archer,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BIO
258541,2001,2008.11.24,N800XP N50441,Raytheon Hawker 800XP,Raytheon Aircraft Company,"Wichita, KS, USA",OY-FCG
11947,2007,2007.12.12,Cancelled,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HHF
10394,1969,1988.11.03,G-BNTA 9Q-CLN PH-FNS,Fokker F.27 Friendship Srs. 600,Fokker B.V.,"Amsterdam, Holland",OY-SRB
3146,1979,2003.04.22,D-2848,Rolladen-Schneider LS3-17,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-XVT
1992,2006,2008.10.02,N992SR,Cirrus SR 22,Cirrus Design Corporation,"Duluth, MN, USA",OY-SNE
4342,2008,2008.10.02,OE-XPQ,Robinson R22 Beta II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HWA
12736,1976,1976.10.07,(F-ODEZ),SOCATA MS.893E Rallye 180GT,SOCATA,"Tarbes, France",OY-PRM
12427,2008,2008.09.24,Cancelled,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HKF
23100,1987,2008.09.24,BGA-4007/HKI D-2935 HB-1935,Schleicher ASK 23B,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-CXL
217,1969,1988.06.03,N12217 G-AXHJ,HP.137 Jetstream I,Handley Page Ltd,"Radlett, UK",OY-CRR
1251,1990,1990.03.23,Cancelled 2010.02.08,Robinson R22 Beta,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFC
,,2008.02.14,Cancelled NTU,Robinson R44 Astro,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HHO
2017,1982,1999.06.23,G-BWHN C-GSLC HC-BQJ C-GSLC HC-BNC C-GSLC,Aérospatiale AS 332L Super Puma,Aérospatiale (SNIAS),"Marignane, France",OY-HDT
UC-069,1989,2003.01.29,F-GPYS N69ZR N520LX N15466,Beech 1900C-1 Airliner,Beech Aircraft Corporation,"Wichita, KS, USA",OY-GML
U20601567,1970,1991.05.27,(SE-KLL) LN-BEI N9167M,Cessna U206E Stationair 6,Cessna Aircraft Company,"Wichita, KS, USA",OY-CJG
11367,1977,1981.10.22,N888TB D-IAWW N81547,Rockwell 690B Turbo Commander,Rockwell International Corporation,"Bethany, OK, USA",OY-BEJ
7261,1966,1966.05.11,Cancelled 2009.02.16,Schleicher Ka 7 Rhönadler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-BXL
560-0401,1997,2008.09.09,VP-CSN N401CV N5197A,Cessna 560 Citation Ultra,Cessna Aircraft Company,"Wichita, KS, USA",OY-KLG
106,1969,1969.05.30,Cancelled 2001.05.18,Piccard AX-6,"Piccard, Donald L.","Newport Beach, CA, USA",OY-BOA
,,,,,,,OY-BNL (2)
10459,1971,1971.11.01,(PH-EXD),Fokker F.27 Friendship Srs. 500,Fokker-VFW BV,"Amsterdam, Holland",OY-APF
2004,2008,2018.02.16,HB-KHW N986PG,Cirrus SR 20,Cirrus Design Corporation,"Duluth, MN, USA",OY-AHI(1)
31-647,1970,1979.08.29,LN-KCM,Piper PA-31-310 Navajo,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-AUS
9210-1689,1997,1997.06.19,Cancelled 2008.07.11,Denney Kitfox IV-1200,Denney Aerocraft Company,"Hjørring, Denmark",OY-CMR
2174,1984,1985.07.18,G-BKOK,Britten-Norman BN-2B-27 Islander,Britten-Norman Ltd,"Bembridge, UK",OY-CFV
,,,,,,,OY-KCD (1)
CD-1213,1969,1975.04.10,D-EKXI,Beech E33 Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-RPT
24849,1990,1990.11.30,SE-DKT,Boeing 767-383ER,Boeing Company,"Everett, WA, USA",OY-KDO
36808,2008,2008.07.22,(D-KIBX) (OE-9997),HOAC HK-36TTC Super Dimona,Hoffmann Flugzeugbau GmbH,"Wiener Neustadt, Austria",OY-XZS
11150,2008,2008.07.29,Cancelled,Cameron N-77,Cameron Balloons Ltd,,OY-ROY
172S8474,2000,2008.07.23,N199ME,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-NKB
,,,,,,,OY-HTV (2)
,,,Cancelled,,,,OY-9356
,1960,1960.05.31,Cancelled,SZD-22C Mucha Standard,Polskie Zaklady Lotnicze,"Bielsko-Biala, Poland",OY-XAI
1608,2006,2007.09.25,N760MK (OY-GEM(3)) N760MK,Cirrus SR 20,Cirrus Design Corporation,"Duluth, MN, USA",OY-GBA
117,2000,2000.11.06,Cancelled 2005.09.05,Extra EA 300 L,Extra-Aerobatic Aircraft GmbH,"Dinslaken, Germany",OY-LAE
11-040,2000,2005.09.06,D-KAZT,Stemme S 10VT,Stemme GmbH & Co KG,"Berlin, Germany",OY-SAX
3913,2005,2005.05.04,(F-WWXQ) (F-WQDG),Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HGN
18281471,2004,2008.09.22,N847DH,Cessna 182T Skylane,Cessna Aircraft Company,"Independence,KS, USA",OY-CSZ
,,,,,,,OY-PBV (2)
,,2007.,Cancelled NTU,Cessna 172,Cessna Aircraft Company,,OY-FDM
18384,1961,1973.01.02,N733US N795TW,Boeing 720-051B,Boeing Company,"Renton, WA, USA",OY-APZ
21245,1976,1997.11.18,EI-PAK N26762 N569PE N443PS N444BN,Boeing 727-227F,Boeing Company,"Renton, WA, USA",OY-SET
32,1973,2002.07.04,D-2194,Start + Flug H-101 Salto,Start + Flug GmbH,"Saulgau, W.Germany",OY-NYX
568,,2003.,F-WWYS,Airbus A330-343X,Airbus Industrie,"Toulouse, France",OY-KBS
28305,1999,1999.06.23,(N1787B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKE
1980,,,G-AHCN,Auster J/1N Alpha,Auster Aircraft Ltd,"Rearsby, UK",OY-AVM
917910,1991,1999.11.30,OE-5540,Let L-23 Super-Blanik,Let Narodny Podnik,"Kunovice, Czechoslovakia",OY-SBX
18-6039,1957,1983.04.13,D-EJEQ SE-CLH (D-EJEQ) SE-CLH N7879D,Piper PA-18-150 Super Cub,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-EFY
,,,Cancelled,,,,OY-9353
,,,Cancelled,,,,OY-9337
PFA094A-11014,,2005.02.01,G-BPNL,QAC Quickie Q2,,,OY-CJR
1203,2008,2008.05.16,Cancelled,Lindstrand LBL 77A,Lindstrand Balloons Ltd,"Oswestry, UK",OY-FOL
