serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
17262101,1973,1974.03.29,N12596,Cessna 172M Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-ECE
9139,2004,2005.01.12,C-FYZP,Bombardier BD-700-1A10 Global Express,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-CVS
MU2B-36A-714S.A,1978,1991.03.27,N876MA,Mitsubishi MU-2N (MU-2B-36A),Mitsubishi Jukogyo Kabushiki Kaisha,"San Angelo, TX, USA",OY-CKF
F17201600,1977,1987.02.04,D-EOTA,Reims/Cessna F172N Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BZE
28-7715160,1977,2009.09.08,SE-KFL N5962F,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-ZMB
,,,Cancelled,,,,OY-1046
,,,Cancelled,,,,OY-9896
,,,Cancelled,,,,OY-9757
,,,Cancelled,,,,OY-9607
,,,Cancelled,,,,OY-1040
U20601776,1972,1972.05.03,Cancelled 2016.10.27,Cessna U206E Stationair 6,Cessna Aircraft Company,"Wichita, KS, USA",OY-RYW
369,2022,2022.10.28,Cancelled 2024.10.29,Tecnam P2006T,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-FFS
21686,1978,1979.01.26,Cancelled 1981.04.24,Boeing 737-2L9,Boeing Company,"Renton, WA, USA",OY-APK
079,1988,1989.08.11,D-BATA (F-WWEE),Aeritalia/SNIAS ATR 42-300,Avions de Transport Regional,"Toulouse, France",OY-CID
,,,,,,,OY-APL (2)
1960,2003,2005.04.29,G-EFPA D-AVZG,Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-VKD
0356,2000,2000.08.10,F-WWYJ,Airbus A330-343,Airbus Industrie,"Toulouse, France",OY-VKH
10838,2025,2025.10.29,N838SU,Cirrus SR 22,Cirrus Design Corporation,"Duluth, MN, USA",OY-UGG(2)
1316,2016,2025.05.12,ES-ATK CS-DJG F-WTDS F-WWEW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZJ
1165,2014,2014.08.08,F-WWEF,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-JZF
100-0083,2012,2025.08.15,N420Q,Daher Kodiak 100,Quest Aircraft Company,"Sandpoint, ID, USA",OY-ZCC
46254,1973,1973.04.04,(D-KATJ),Scheibe SF 25B Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XBK
0349,2000,2000.07.24,F-WWYG,Airbus A330-343,Airbus Industrie,"Toulouse, France",OY-VKG
12679,2025,2025.07.22,(D-AVZN),Airbus A321-251NX,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-VKE(2)
8077,2007,2009.08.04,C-FOBI,Bombardier CL-600-2B19 (Series 100) Challenger 850,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-VGA
342,2025,2025.08.28,Cancelled,Tecnam P2010 TDI,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-TEC
172S8190,1999,2008.04.30,N369LP,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-SSF
22226,1984,2015.04.21,N749AX N114 DL,Boeing 767-232SF,Boeing Company,"Everett, WA, USA",OY-SRT
2011-06/313,2019,2025.08.07,Cancelled,EuropaClassic,Europa Aviation Ltd,"Hadsten, Denmark",OY-RAF
4697387,2008,2009.03.16,Cancelled 2010.06.18,Piper PA-46-500TP Malibu Meridian,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-PMM
6156,2020,2020.11.27,C-GUAW,Bombardier Challenger 604,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-LLG
,2008,2015.03.27,F-GVZT OY-CLV 4K-AZ65 FWWEH,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-JZV
27094,1993,2015.08.10,N837AC UR-GAP OE-LNI,Boeing 737-4Z9,Boeing Company,"Renton, WA, USA",OY-JTM
166,2002,2007.05.22,TC-DGC F-WWVD (N22259) F-WWVD,Dassault Falcon 2000,Dassault Aviation,"Merignac, France",OY-CKW
BB-419,1979,1985.03.04,N256EN N555FP,Beech 200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BVB
,,,,,,,OY-TEI (2)
,,,,,,,OY-XBM (1)
872,2008,2008.02.20,HB-FQD(9),Pilatus PC-12/47,Pilatus Flugzeugwerke AG,"Stans, Switzerland",OY-VIN
15282543,1979,1990.12.19,TF-FTG N69194,Cessna 152,Cessna Aircraft Company,"Wichita, KS, USA",OY-SUK
4697456,2011,2020.01.09,C-GUSI C-GLER C-GTTU (N9548N),Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-SCL
34-7350211,1973,2009.07.02,SE-GAD (SE-LCA) OH-PNE SE-GAD,Piper PA-34-200 Seneca,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JBG
31295,2010,2018.05.16,G-SNSB PH-EUD,AgustaWestland AW139,AgustaWestland,"Cascina Costa, Italy",OY-HFY
4602033,,2024.05.16,N33FY,Piper PA-46-701P M700 Fury,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-FRY
,,,,,,,OY-FFA (2)
10838,2025,2025.10.29,N838SU,Cirrus SR 22,Cirrus Design Corporation,"Duluth, MN, USA",OY-UGG(1)
211032,2025,2025.09.16,Cancelled,Schleicher ASK 21B,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-GEX
1339,2016,2021.12.17,EI-FSL F-WWEW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YDU
4451,2013,2023.08.15,SP-EQL C-GVWZ,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YGB
4443,2013,2023.08.09,SP-EQK C-GUIZ,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YGA
4422,2012,2023.05.12,(OY-YFZ) SP-EQF C-GPKS,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFY(1)
4422,2012,2023.02.14,SP-EQF C-GPKS,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFZ
,,,,,,,OY-YFW (1)
1012,2014,2021.08.12,V2-LIK F-WWLU,Aeritalia/SNIAS ATR 42-500,Avions de Transport Regional,"Toulouse, France",OY-YDV
4697147,2002,2002.12.19,(OY-PHB),Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LDA
15218,2009,2009.02.24,Cancelled 2016.12.21,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFC
1619,2001,2001.12.05,(SE-REK) (D-AVZB),Airbus A321-232,Airbus Industrie,"Finkenwerder, Germany",OY-KBL
GA7-0095,,,N9527Z,Grumman GA-7 Cougar,Grumman American Aviation Corporation,"Savannah, GA, USA",OY-GAY
