serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
28-8190139,1981.0,1987.05.04,G-BMKL ZS-KWL N8323L,Piper PA-28-181 Archer II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CEK,"N8323L, ZS-KWL, G-BMKL, OY-CEK, SE-KLV",1987-1989
F17200957,1972.0,1972.11.17,Cancelled 1988.11.24,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYR,"OY-RYR, SE-KGP, TC-DKU",1972-1988
31-7305007,1973.0,1984.05.28,LN-MTK(2) N7677L,Piper PA-31-350 Navajo Chieftain,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-BYF,"N7677L, LN-MTK, OY-BYF, SE-KGH",1984-1988
10699,1967.0,1967.07.22,Cancelled 1988.09.28,SOCATA MS.893A Rallye Commodore 180,SOCATA,"Tarbes, France",OY-DTI,"OY-DTI, SE-KGG",1967-1988
10699,1967.0,1967.07.22,Cancelled 1988.09.28,SOCATA MS.893A Rallye Commodore 180,SOCATA,"Tarbes, France",OY-DTI,"G-ADMO, AV969, G-ADMO, (OY-DTI), G-ADMO, CR-LCE, G-ADMO, VP-FAE, destroyed by fire 1957",(1946)
17273654,1980.0,1987.06.18,N4612J,Cessna 172N Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-CPF,"N4612J, OY-CPF, SE-KFY",1987-1988
2009,1991.0,1992.07.21,(OY-HFP),Robinson R22 Beta,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFT,"OY-HFT, SE-JFM damaged 25.4.1999 Åkersberga, cancelled 2007",1992-1994
2491,1978.0,1985.04.22,HB-XBE(2) D-HEPE (YV-O-PTJ),Bell 206B3 Jet Ranger III,Bell Helicopter Company,"Forth Worth, TX, USA",OY-HDJ,"(YV-O-PTJ), D-HEPE, HB-XBE, OY-HDJ Grønlandsfly ""Nerleq""  (blisgåsen), (LN-OFF), LN-OHR, SE-JER",1985-1997
S1528,1991.0,1994.02.16,SE-JAH N41S,Schweizer 300C,Hughes Tool Company,"Elmira, NY, USA",OY-HEB,"N41S, SE-JAH, OY-HEB, SE-JAH",1994-1999
17262765,1973.0,1987.07.09,N13455,Cessna 172M Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-CPJ,"N13455, OY-CPJ, SE-IYF, crashed 4.7.2004 Lundy Island GB",1987-1987
F15001199,1975.0,1978.06.28,PH-VST,Reims/Cessna F150M,Cessna Aircraft Company,"Reims, France",OY-AZJ,"PH-VST, OY-AZJ, damaged 24.4.1981 Jelstrup, SE-IXT   destroyed in hangar fire 4.1.2016 Landskrona",1978-1987
U20603341,1976.0,1976.07.25,N8483Q,Cessna U206F Stationair 6,Cessna Aircraft Company,"Wichita, KS, USA",OY-BUT,"N8483Q, OY-BUT, LN-ALM, SE-IXK",1976-1978
G-1,1942.0,1991.,D-EMUG N46490 NC46490 43-3009,Piper TG-8 (J-3C-65 Cub),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-EFM,"43-3009, NC46490, N46490, D-EMUG, (OY-EFM), OY-EEE",
19861,1946.0,1973.05.04,D-EHEC N6657H NC6657H,Piper J-3C-65 Cub,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DRJ,"NC6657H, N6657H, D-EHEC, OY-DRJ, SE-IER",1973-1980
F17201862,1979.0,1979.,Cancelled NTU,Reims/Cessna F172N Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BNJ,"(OY-BNJ), SE-IBG",
295,1975.0,1975.07.09,Cancelled 1976.09.17,Enstrom F.28A-D,Enstrom Helicopter Corporation,"Menominee, MI, USA",OY-HBL,"OY-HBL, SE-HHN, crashed 17.8.1978 Yxlan, Granö. Kåremo Flygmuseum",1975-1976
296,1975.0,1975.07.31,Cancelled 1976.04.01,Enstrom F.28A-D,Enstrom Helicopter Corporation,"Menominee, MI, USA",OY-HBN,"OY-HBN, SE-HFV, crashed 8.8.1981 Sandön, Luleå",1975-1976
F17201332,1975.0,1975.07.31,(D-EOGA),Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BIF,"(OY-BIF), SE-GKT, damaged 25.7.1996 Njutånger, SE-GKT, OH-GKT",
F17201332,1975.0,1975.07.31,(D-EOGA),Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BIF,"(D-EESI), OY-BIF, SE-GKZ",1975-1975
F17201215,1974.0,1975.02.19,Cancelled 1975.05.07,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BID,"OY-BID, SE-GKY",1975-1975
F17200997,1973.0,1973.10.12,Cancelled 2008.01.10,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BFW,Crashed 9.4.2007 Horsens,1973-2008
F17201171,1974.0,1974.08.05,Cancelled 1974.10.28,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BFT,"OY-BFT, SE-GGO",1974-1974
10944,1968.0,1969.04.10,(SE-CIY),SOCATA MS.893A Rallye Commodore 180,SOCATA,"Tarbes, France",OY-DJH,"(SE-CIY), OY-DJH, SE-GFB, cancelled 2007",1969-1974
402A0057,1969.0,1969.07.24,(N4557Q),Cessna 402A,Cessna Aircraft Company,"Wichita, KS, USA",OY-AGN,"N4557Q, OY-AGN, SE-FZK, crashed  8.5.1982",1969-1973
402A0057,1969.0,1969.07.24,(N4557Q),Cessna 402A,Cessna Aircraft Company,"Wichita, KS, USA",OY-AGN,"N30581, (OY-AGN), OH-CBH",
AA1A-0195,1971.0,1971.12.08,(N9295L),American AA-1A Trainer,American Aviation Corporation,"Cleveland, OH, USA",OY-AYJ,"(N9295L), OY-AYJ, SE-FTT",1971-1973
10719,1967.0,1967.07.25,Cancelled 1970.11.24,SOCATA MS.893A Rallye Commodore 180,SOCATA,"Tarbes, France",OY-DKR,"OY-DKR, SE-FSA",1967-1970
28-26723,1970.0,1975.07.23,SE-FPC,Piper PA-28-140 Cherokee C,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-ANR,"SE-FPC, OY-ANR, SE-FPC CoA expired 2016",1975-1984
31-343,1968.0,1969.01.31,Cancelled 1969.03.04,Piper PA-31-310 Navajo,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-BKE,"OY-BKE, SE-FLI. Instructional airframe at Nyköping 1992",1969-1969
617,1966.0,1976.07.28,G-ATYP (D-EHUW),Bölkow Bö 208C Junior 3,Bölkow Apparatebau GmbH,"Nabern/Teck, W.Germany",OY-POK,"(D-EHUW), G-ATYP, OY-POK, SE-FIS",1976-1979
066,1971.0,1971.09.03,(SE-FID),MFI-9B Trainer,Malmö Flygindustri AB,"Malmö, Sweden",OY-DRF,"(SE-FID), OY-DRF, SE-FID",1971-1976
336-0063,1963.0,1963.10.25,(N1763Z),Cessna 336 Skymaster,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRH,"N1763Z, (HB-LCZ), OY-TRH A/S Commertas, SE-ETZ, cancelled 1981, wreck at  Skå-Edeby 1989",1963-1965
18-6875,1959.0,1962.04.30,N9798D,Piper PA-18A-150 Super Cub,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-AIO,"N9798D, OY-AIO, SE-EIH",1962-1964
F172-0102,1965.0,1964.12.17,Cancelled 1965.02.25,Reims/Cessna F172F Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BAH,"OY-BAH, SE-EHX",1964-1965
,1960.0,1960.,Cancelled NTU,Tipsy T.66H Nipper Mk.2,Avions Fairey SA,"Gosselies, Belgium",OY-AEP,"N8629X, LN-DBA, OY-AEP, SE-EEC, crashed 12.8.1965 Tärnaån, Sweden",1962-1962
263,1969.0,1970.01.13,(F-WJAN),Sud SE-210 Caravelle 10R,Sud-Aviation,"Toulouse, France",OY-SAZ,"(F-WJAN), OY-SAZ Sterling Airways, F-WJAN, D-ABAF, F-OCKH, F-WJAK, EC-CYI, SE-DEC, (LN-TEC), SE-DEC, crashed 6.1.1987 Arlanda",1970-1971
205,1951.0,1951.10.12,Cancelled 1953.02.24,S.A.I. KZ 10 AOP,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-ACL,"OY-ACL, SE-CZZ, crashed 12.7.1990 Långtora",1959-1965
205,1951.0,1951.10.12,Cancelled 1953.02.24,S.A.I. KZ 10 AOP,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-ACL,"OY-ACL, OY-AOL",1951-1953
21058078,1962.0,1967.02.17,SE-CYZ (N9778X) (SE-CYY),Cessna 210B,Cessna Aircraft Company,"Wichita, KS, USA",OY-EGC,"N9778X, SE-CYZ, OY-EGC, SE-CYZ, crashed 19.1.1972 Risberga north of Arlanda",1967-1967
108-1846,1947.0,1983.01.14,LN-BEK SE-CDF N8846K,Stinson 108-1 Voyager,Stinson div. of Consolidated Vultee,"Wayne, MI, USA",OY-EFK(2),"N8846K, SE-CDF, LN-BEK, OY-EFK, SE-CDF, destroyed by fire 16.6.1995 Barkaby",1980-1988
91130,1947.0,1986.11.06,OO-MUG OO-HUG PH-UEB SE-BNN,SAAB-91A Safir,Svenska Aeroplan A.B.,"Linköping, Sweden",OY-DBT,"SF-32, OH-SFK, SE-IOC, OY-DBT (2), G-XCID",2003-2015
91130,1947.0,1986.11.06,OO-MUG OO-HUG PH-UEB SE-BNN,SAAB-91A Safir,Svenska Aeroplan A.B.,"Linköping, Sweden",OY-DBT,"SE-BNN, PH-UEB, OO-HUG, OO-MUG, 
OY-DBT (1), SE-BNN ""F10-30""",1986-1988
10-9S9,2002.0,2003.03.20,D-5374,DG-1000S,DG Flugzeugbau GmbH,"Bruchsal, Germany",OY-EXZ,"D-5374, OY-EXZ, competition number EZ, SE-UTS",2003-2007
20639,1973.0,1998.06.22,N16784 N516PE (N506PE) N457DA (N466DA),Boeing 727-232,Boeing Company,"Renton, WA, USA",OY-SER,"(N466DA), N457DA, N561PE, N16784, OY-SER Sterling  European, TNT, N965PG. Stored in Tuscon 2002 as OY-SER, broken up.",1998-2002
3193,2001.0,2007.03.26,N428FJ D-BDXX,Dornier 328-300,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-NCN,"D-BDXX, N428FJ, OY-NCN Sun-Air",2007
3210,2002.0,2005.08.18,N328HJ (D-BSUN) N328HJ (OE-HAB) N328HJ (D-BDUU) D-BDXQ,Dornier 328-300,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-NCO,"D-BDXQ, N328HJ, (D-BDUU), OE-HAB, (D-BSUN), OY-NCO Sun-Air",2005
3190,2001.0,2006.12.05,N426FJ,Dornier 328-300,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-NCM,"D-BDXU, N426FJ, OY-NCM Sun-Air",2006
,1946.0,1946.10.04,Cancelled 1956.04.20,S.A.I. KZ III U-2,Skandinavisk Aero Industri A/S,"København, Denmark",OY-DHU,"OY-DHU, D-EHUT, Crashed 21.5.1977 Bremerhafen",1946-1956
11968,1944.0,1976.05.26,D-EMAC OO-AAF 44-79672,Piper J-3C-65 Cub (L-4H),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-ALI,"44-79672, OO-AAF, D-EMAC, OY-ALI, damaged 30.9.1982 Herning, SE-BEN, damaged on landing 17.5.1998 at Varberg",1976-1983
12904,1944.0,1979.07.19,LN-RAL (LN-RAK) 44-80608,Piper J-3C-65 Cub (L-4J),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-AVP,"44-80608, (LN-RAK), LN-RAL, OY-AVP, SE-BEC",1979-1984
108-4874,1949.0,1979.06.07,D-EKES N6874M,Stinson 108-3 Voyager,Stinson div. of Consolidated Vultee,"Wayne, MI, USA",OY-AVE,"N6874M, D-EKES, OY-AVE, SE-BEA",1979-1983
102,1946.0,1947.01.31,Cancelled 1950.11.29,S.A.I. KZ III U-2,Skandinavisk Aero Industri A/S,"København, Denmark",OY-DYB,"OY-DYB, SE-AZY, OY-DYB, SE-AZY, cancelled","1947-1950 
1974-1978"
,,,Cancelled,,,,OY-8005,,
,,,,,,,OY-JAZ (1),"OY-JAZ, PH-AEE",1997-1997
,,,Cancelled,,,,OY-SSK,,(2004)
,,2003.04.25,Cancelled NTU,Cameron O-84,Cameron Balloons Ltd,,OY-LOR,,(2003)
,,2001.02.06,Cancelled NTU,Ultra Magic 77 AX7,,,OY-GOC,,(2001)
038,,2003.02.25,G-BGIP,Colt 56A,Colt Balloons Ltd,"Oswestry, UK",OY-FOR,"G-BGIP, (OY-FOR), G-BGIP",(2005)
,,2003.03.20,Cancelled NTU,Cameron A-210,Cameron Balloons Ltd,"Bristol, UK",OY-EOD,"SE-ZIT, OY-EOD (2) Ballonflyverne ApS, owner banrupt",2011-2020
,,2003.03.20,Cancelled NTU,Cameron A-210,Cameron Balloons Ltd,"Bristol, UK",OY-EOD,OY-EOD (1),(2003)
1065,1946.0,1958.05.16,SE-BCD (NC80660),Globe GC-1B Swift,Globe Aircraft Corporation,"Fort Worth, TX, USA",OY-ADP,"NC80660, SE-BCD, OY-ADP, SE-BCD, CofA expired 1989, stored",1958-1962
04061,1948.0,1960.08.06,EP-ACG,DH.104 Dove Srs.1,de Havilland Aircraft Co Ltd,"Hatfield, UK",OY-AAJ,"EP-ACG, OY-AAJ, G-AREG, broken up 1967 Benina, Libya",1960-1960
6179,1963.0,1968.06.26,Z-967,Schleicher Ka 6CR Rhönsegler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XFO,"Z-967, OY-XFO,  competition number 15, OO-ZTG",1968-1988
V2,1965.0,1967.03.06,D-6438 D-9338,Schempp-Hirth HS-1 SHK,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-BXP,"D-9338, D-6438, OY-BXP, competition number Y9, OO-ZTE",1967-1995
8155,1963.0,1968.06.26,Z-966,Schleicher K 8B,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XFF,"Z-966, OY-XFF, competition number 55, OO-ZKU",1968-1987
172,1987.0,1987.06.19,Cancelled 2004.08.19,Schempp-Hirth Discus b,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XYK,"OY-XYK competition number 04, OO-YYK",1987-2004
,,,,,,,OY-GKC (2),"N5073G, OY-GKC Lego System A/S, OO-SAV, B-9465",2001-2005
373,1975.0,1976.01.16,(SE-FLT)(N1373J),Rockwell Commander 112A,Rockwell International Corporation,"Bethany, OK, USA",OY-DLJ,"(N1373J), (SE-FLT), OY-DLJ, G-NELL, (OO-CWR),  OO-RES",1976-1980
502,1958.0,1958.03.21,Cancelled 1976.11.19,Convair CV-440-61 Metropolitan,Convair div. of General Dynamics Corp.,"San Diego, CA, USA",OY-KPF,"OY-KPF ""Ingemund Viking"", 3D-ACD, A2-ABM, N8042T, Carlsbad, CA 1990",1958-1976
394,1956.0,1957.02.19,Cancelled 1970.09.29,Convair CV-440-61 Metropolitan,Convair div. of General Dynamics Corp.,"San Diego, CA, USA",OY-KPE,"OY-KPE ""Sune Viking"", SE-FUG, N94CF, wfu. Expiration Date 31.12.2011",1957-1970
350,1956.0,1956.08.03,Cancelled 1963.01.09,Convair CV-440-61 Metropolitan,Convair div. of General Dynamics Corp.,"San Diego, CA, USA",OY-KPC,"OY-KPC ""Trygve Viking"", SE-CCM, CF-GLR, C-FGLR, N25DR, Homestead 1989. Cancel Date 21.8.2012",1956-1963
325,1956.0,1956.05.23,Cancelled 1969.09.23,Convair CV-440-61 Metropolitan,Convair div. of General Dynamics Corp.,"San Diego, CA, USA",OY-KPA,"OY-KPA ""Hans Viking"", SE-CCG, CF-GHQ, CF-GLK,  N99589, N21DR, crashed 17.1.1982 Pearl Harbour Channel, Honolulu, Hawaii",1956-1969
19758,1950.0,1988.03.29,D-ENQI D-EHON N1204D,Cessna 170A,Cessna Aircraft Company,"Wichita, KS, USA",OY-DBZ,"N1204D, D-EHON, damaged 17.5.1964 Schwenningen, D-ENQI, OY-DBZ, crashed 3.11.2006 Ølgod",1988
691,1977.0,2000.04.18,D-3087,Schempp-Hirth HS-4 Standard Cirrus 75,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-LXP,"D-3087, OY-LXP,  competition number L8, OK-7070",2000-2004
1284,1976.0,1985.04.01,D-7376,Grob G 102 Astir CS,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-XLV,"D-7376, OY-XLV, competition number LV, damaged 10.5.1998 Ejstrup Hede, OH-937",1985-2003
168,1947.0,1947.12.01,Cancelled 1949.08.22,S.A.I. KZ VII U-4 Lærke,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-ABC,"OY-ABC ""Mads"", OH-KZE",1947-1949
14473,2021.0,2021.11.05,Cancelled 2025.09.23,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFS(1),"OY-HFS, OH-HWC, crashed 24.3.2000 near Tampere-Pirkkala Airport. Broken up in Sweden",1992-1997
2008M,1991.0,1992.01.29,Cancelled 1999.04.22,Robinson R22 Mariner,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFO,"OY-HFO, SE-JFV, OH-HSL",1992-1999
402B0581,1974.0,1976.03.19,I-BETY N1436G,Cessna 402B Utiliner,Cessna Aircraft Company,"Wichita, KS, USA",OY-POM,"N1436G, I-BETY, OY-POM, N1436G, EC-HDF, LZ-CCB",1976-1979
28-10074,1963.0,1964.01.23,Cancelled 1985.07.26,Piper PA-28-235 Cherokee,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-DCK,"N8562W, OY-DCK, crashed 20.11.1980 Odense",1964-1985
12847,1944.0,1976.04.12,(D-EFBP) LX-ABO OE-ABO HB-OAB 44-80551,Piper J-3C-65 Cub (L-4J),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-ALP,"44-80551, HB-OAB, OE-ABO, LX-ABO, D-EFBP, OY-ALP, LN-KLT, damaged 17.5.1997 Kamenz, Germany. SE-BMC",1976-1982
25-7856033,1978.0,1978.06.01,Cancelled 1988.01.14,Piper PA-25-235 Pawnee D,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-BRF,"OY-BRF, SE-KBS",1978-1988
414A0331,1979.0,1985.12.20,(D-IFAS) N2687X,Cessna 414A Chancellor,Cessna Aircraft Company,"Wichita, KS, USA",OY-BHW,"N2687X, (D-IFAS), OY-BHW, N414GP, XB-FNA, N414GP",1985-1989
6174,1987.0,2007.03.14,SE-UHM D-0299,Rolladen-Schneider LS6-b,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-HPX,"D-0299, SE-UHM, OY-HPX competition number HP",2007
,2004.0,2004.07.20,Cancelled,Schempp-Hirth Duo Discus T,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-RRX,Competition number RR,2004
354,,1990.12.04,Cancelled NTU,"Rolladen-Schneider LS6-c/17,5",Rolladen-Schneider OHG,,OY-XUP,Svæveflyveklubben SG-70 Competition number AA,2002
24,2005.0,2006.05.02,Cancelled,Schempp-Hirth Discus 2cT,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-KBX,"Competition number KB, Nordsjællands Svæveflyveklub",2006
4023,1969.0,1975.09.07,D-IDWM PH-NVB D-IDWM (N6774),Dornier Do 28D-1 Skyservant,Dornier GmbH,"München, W.Germany",OY-DLS,"(N6774), D-IDWM, PH-NVB, D-IDWM, 
OY-DLS,  OO-GEO, crashed 4.5.1989, instruction airframe Ostende",1975-1980
238,1991.0,1991.04.10,(F-WWEC),Aeritalia/SNIAS ATR 42-300,Avions de Transport Regional,"Toulouse, France",OY-CIH,"F-WWEC, (B-2206), OY-CIH Cimber Air, G-RHUM, C-GWWR",1991-2005
503.A.06.004,2006.0,2007.02.14,Cancelled,SZD-50-3 Puchacz,PZL-Bielsko,"Bielsko-Biala, Poland",OY-TXD,Competition number TD,2007
nil,1939.0,1939.07.31,Cancelled 1945.08.12,Schneider ESG-9 Grunau 9,Schneider,"Viborg, Denmark",OY-30,"Viborg Svæveflyveklub ""Onkel Holger"", crashed 12.8.1945 Viborg",1939
7,1945.0,1949.03.18,(SE-SFB),Flygindustri Fi 1,Flygindustri A.B.,"Halmstad, Sweden",OY-XIX,"SE-SFB, OY-XIX, crashed 27.10.1965 Vandel",1949-1965
081,1944.0,1959.06.23,SE-SPU,DFS Kranich I,DFS (Deutsche Forschungsanstalt für Segelflug,"Norrköping, Sweden",OY-BSX,"Fv8220, SE-SPU, OY-BSX, 
crashed 17.4.1960 Tirstrup",1959-1966
216,1943.0,1958.06.25,Fv8301,DFS Weihe,DFS (Deutsche Forschungsanstalt für Segelflug,"Halmstad, Sweden",OY-VOX,"Fv8301, (havareret), OY-VOX competition number 9, Havdrup Svæveflyveklub, Danmarks Flyvemuseum",1958-1969
3105,1938.0,1939.06.14,Cancelled 1940.11.01,Focke Wulf Fw 58C Weihe,Focke Wulf Flugzeugbau GmbH,"Bremen, Germany",OY-DYS,"OY-DYS, Luftwaffe, wreck at Karup 1945",1939-1940
283,1986.0,1986.03.21,Cancelled 1987.03.20,Schempp-Hirth Ventus b/16.6,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XOR,Competition number Z8. Crashed in a collision with PA-28 SE-IDS 28.4.1989 at Ølholm.,1986-1989
,1982.0,2000.03.24,D-6720,Schempp-Hirth Ventus b/16.6,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-HXB,"D-6720, OY-HXB, competition number HB, XB",2000
244,1985.0,2005.05.19,D-6511,Schempp-Hirth Ventus b/16.6,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-SIX,"D-6511, OY-SIX competition number N6, OY SIX Gruppen",2005
228,1985.0,1986.07.31,D-5237,Schempp-Hirth Ventus b/16.6,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XYH,"D-5237, OY-XYH, competition number Y6",1986
206,1984.0,1998.02.18,D-8422,Schempp-Hirth Ventus b/16.6,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-HSX,"D-8422, OY-HSX Herning Svæveflyveklub, competition number HS, Ventusgruppen Kolding",1998
137,1983.0,1983.05.03,Cancelled 2002.01.15,Schempp-Hirth Ventus b,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XMX,"Competition number MX. Crashed 29.07.1997 near Cantalice, Italy",1983-2002
478,1993.0,1993.09.28,Cancelled,Schempp-Hirth Discus b,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XST,"Competition number ST, damaged 31.3.2002 Mors-Tødsø (EKNM)",1993
2,1995.0,2002.06.19,BGA-4667 D-KLYC,Schempp-Hirth Ventus 2cT,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XZA,"D-KLYC, BGA-4667/JPG, OY-XZA, competition number ZA",2002
38,1999.0,1999.03.19,Cancelled,Schempp-Hirth Ventus 2cT,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XVJ,Competition number VJ,1999
106,2003.0,2003.06.26,Cancelled,Schempp-Hirth Ventus 2cT,Schempp-Hirth KG,,OY-XZC,Competition number ZC,2003
44,1999.0,2003.11.27,D-KISK,Schempp-Hirth Ventus 2cT,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-NSX,"D-KISK, OY-NSX, PH-1308",2003-2004
7,1996.0,1997.03.10,Cancelled,Schempp-Hirth Ventus 2cT,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XSO,Competition number KV,1997
22,1998.0,1998.03.04,Cancelled,Schempp-Hirth Ventus 2cT,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-IBX,Competition number IB,1998
36,1998.0,1998.05.27,Cancelled 1999.05.07,Schempp-Hirth Ventus 2c,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-NXS,"Competition number NS. Crashed near Fuentemilanos, Spain 22.07.2003",1998-2003
103,2001.0,2001.09.05,Cancelled 2003.08.29,Schempp-Hirth Ventus 2cM,Schempp-Hirth KG,,OY-SXL,"D-KSXL, OY-SXL Svæveflyveklubben SG-70",2006
103,2001.0,2001.09.05,Cancelled 2003.08.29,Schempp-Hirth Ventus 2cM,Schempp-Hirth KG,,OY-SXL,"OY-SXL competition number 8L, D-KBSL",2001-2003
18,1996.0,1997.02.11,Cancelled 1998.04.02,Schempp-Hirth Ventus 2c,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XSW,Competition number SW,1997
96,2000.0,2000.02.24,Cancelled 2009.03.12,Schempp-Hirth Ventus 2b,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-SHX,"OY-SHX competition number S1, D-4947",2000-2009
,,,Cancelled,,,,OY-HHX,"D-KEVV, OY-HHX",2004
211/32,1984.0,1995.07.18,PH-747,Schempp-Hirth Ventus bT,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XSK,"PH-747, OY-XSK, competition number SK, OK-0369",1995-2012
550,1992.0,1992.05.12,Cancelled 2001.09.17,Schempp-Hirth Ventus c,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XSM,"OY-XSM competition number SM, N176BG",1992-2001
380,1988.0,1988.04.22,Cancelled 2000.11.13,Schempp-Hirth Ventus c,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XRX,"OY-XRX, competition number A2, D-6514",1988-2000
510,1991.0,1991.05.01,Cancelled 2010.02.08,Schempp-Hirth Ventus c/17.6,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-CCX,"OY-CCX competition number CX, OK-4611",1991-2010
,1981.0,1991.06.07,OH-606,Schempp-Hirth Ventus b/16.6,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-CBX,"OH-606, OY-CBX, competition number BX",1991
184/604,1993.0,1994.03.23,Cancelled 2004.12.10,Schempp-Hirth Ventus cT,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XUU,"Competition number IB, M3, D-KOFE",1994-2004
176/577,1993.0,1993.03.12,Cancelled 2005.08.23,Schempp-Hirth Ventus cT,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XTI,"OY-XTI competition number TI, D-KFPF",1993-2005
542,1992.0,1992.03.20,Cancelled,Schempp-Hirth Ventus c,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XTB,Competition number TB,1992
579,1993.0,1993.03.18,Cancelled 1998.11.23,Schempp-Hirth Ventus c,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XSS,"OY-XSS, competition number SS, D-5790",1993-1998
493G,1974.0,1986.04.02,D-9443,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Mindelheim, W.Germany",OY-XYM,"D-9443, OY-XYM, competition number YM",1986
,1970.0,1977.03.16,SE-TIZ,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XHS,"SE-TIZ, OY-XHS, competition number G9, D-0105",1977-2009
653,1976.0,1987.04.30,D-7248,Schempp-Hirth HS-4 Standard Cirrus 75B,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XYU,"D-7248, OY-XYU, competition number YU, OK-7755/YU",1987-2003
142,1971.0,1977.04.22,SE-TKV,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XHW,"SE-TKV, OY-XHW, competition number P3",1977
,1970.0,1989.06.02,D-0456,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XRH,"D-0456, OY-XRH, competition number Y5, crashed 17.6.1989 Skive",1989-1996
