serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
3380,1979.0,1979.03.21,Cancelled 2014.01.22,Rolladen-Schneider LS3-a,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-XJP,"OY-XJP Aalborg Aero Sport, competition number 00, G-TANO, D-0133",1979-2014
F15201525,1978.0,1998.03.17,D-EACY,Reims/Cessna F152,Cessna Aircraft Company,"Reims, France",OY-TVA,"D-EACY, OY-TVA, SP-MKV",1998-2023
25162,1992.0,1998.04.29,CS-TIL,Boeing 737-382,Boeing Company,"Renton, WA, USA",OY-SEF,"CS-TIL, OY-SEF Sterling European, F-GNFH, N161LF, LY-SKW, EX-37301, YR-CBK, WFU 2020",1998-2001
18263880,,2011.07.06,LN-ASM (N6887M),Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-MIC,"(N6887M), LN-ASM, (OY-MIC), LN-ASM, reported sold to Denmark 2022, LN-ASM, SP-ASM",(2011)
,,,,,,,OY-MAA (1),"(OY-MMW), OY-MAA Maersk Air, HL7230, G-MSKD, OY-MAA, ES-ABF, OY-MAA, Maersk Air, Sterling, Jettime A/S, Sterling.com, N494ST storage in Phoenix Deer Valley, AZ, USA nov. 2008-2009, YR-BAG, WFU 2025","1990-1993,
1998-2002,
2004-2008"
24092,1990.0,2007.02.05,SE-UIE,Schleicher ASW 24,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-LXM,"SE-UIE, OY-LXM competition number LM, SE-UIE, D-3989",2007-2014
8-370B269X33,2007.0,2008.03.13,D-KKJD,DG-808C,DG Flugzeugbau GmbH,"Bruchsal, Germany",OY-JXK,"D-KKJD, OY-JXK competition number DD, (D-KADD), D-KRDD",2008-2018
CN,2006.0,2006.12.06,Cancelled 2019.11.06,Cameron TR-70 Racer 70,Cameron Balloons Ltd,"Bristol, UK",OY-GOL,"OY-GOL, UR-GOK",2006-2019
27008,1996.0,2005.03.01,D-6642,Schleicher ASW 27,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-CXC,"D-6642, OY-CXC competition number CC, D-9767, OM-7867",2005-2008
38-79A0745,1979.0,2018.01.10,LN-NRK D-ESOL SE-ICF,Piper PA-38-112 Tomahawk,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-NRK,"SE-ICF, (OE-), D-ESOL, LN-NRK, OY-NRK, D-EOYD",2018-2022
,,,Cancelled,,,,OY-,"N80FY, OY-",
,,,Cancelled,,,,OY-,"SE-EIC, D-EEIO, SE-EIC, LN-EIC, OY-   to be delivered to Arnborg Svæveflyvecenter",2024 R
,,,Cancelled,,,,OY-,"EC-957, EC-FLY, D-AMUL, EC-897, EC-BGX, EI-CZB, RP-C2716, N639AX, EC-JTN, N597AG, PR-LGN, N597AG, VQ-BPY, OY-",
,,,Cancelled,,,,OY-,"N460ER, (LN-KFK), LN-ACU, (OY-  ) Air Service, LN-ACY, D-EDQA",(2015)
,,,Cancelled,,,,OY-,,
,,,Cancelled,,,,OY-,"N4759W, OO-FIC, OY-",
,,,Cancelled,,,,OY-,"C-GDMQ, N277DK, (OY-), N444RF, (D-ESRF), N444RF",
,,,Cancelled,,,,OY-,"N11189, SE-LCX, (OY-), SE-LCX, N905CG, YV2762",(1997)
,,,Cancelled,,,,OY-,"N1900J, SE-KOH, leased to Danish Air Transport 1997-1998 (OY-), N1900J, FAB-043 Fuerza Aerea Boliviana",(1998)
,,,Cancelled,,,,OY-,"N41277, D-EPGH, OY-..., LN-ACO",
,,,Cancelled,,,,OY-,"SE-AXA, (OY-), SE-AXA, crashed 18.6.1965 Stora Sjöfallet, Sweden",(1951)
3525,1980.0,2019.05.28,D-8750,Grob G 103 Twin II,"Grob-Werke GmbH & Co, KG","Mattsies, W.Germany",OY-ZXN,"D-8750, OY-ZXN, exported",2019-2025
799,,1990.05.28,A40-DA C-GGBE,DHC-6 Twin Otter Srs.300,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-SLD,"C-GDFT, C-GGBE, A4O-DA, OY-SLD Sataircraft, 5Y-KEG, 5H-KEG",1990-1990
7622,2002.0,2014.02.21,EC-IDC C-GJYV C-FMLT,Bombardier CL-600-2B19 Regional Jet 200ER,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-RJK,"C-FMLT, C-GJYV, EC-IDC, OY-RJK Cimber A/S, EC-MJE, (9N-..),ES-MCR, N622CN, 8R-",2014-2015
1231,2015.0,2026.02.24,G-CMEI M-ABPO N231EB HK-5109 F-WWEF,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZR,"F-WWEF, HK-5109, N231EB, M-ABPO, G-CMEI, OY-NZR",2025
46020033,2025.0,2025.11.03,N33FY,Piper PA-46-701P M700 Fury,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-NTE,"N33FY, OY-NTE",2025
,,,,,,,OY-NRG (2),"F-WZOV, OY-NRG Air Alsie",2025
,,,,,,,OY-NRG (1),"F-WZOT, (OY-NRG) Air Alsie, 9H-BEAR",(2023)
1165,2014.0,2025.10.22,ES-ATD OY-JZF F-WWEF,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZH,"F-WWEF, OY-JZF Jettime/SAS ""Skjalm Viking"", ES-ATD, OY-NZH, HK-5464",2024-2025
24903,1991.0,2014.02.14,N451KA G-JMCS N451KA UR-VVN M-ABCO UR-VVN OK-WGF 9M-MJN,Boeing 737-4Y0,Boeing Company,"Renton, WA, USA",OY-JTK,"9M-MJN, OK-WGF, UR-VVN, M-ABCO, UR-VVN, N451KA, G-JMCS, N451KA, OY-JTK Jettime, G-JMCS, wfu 2025 Sofia, Bulgaria",2014-2017
18261259,1972.0,2025.,LN-FXV SE-FXV N20853,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-JES(2),"N20853, SE-FXV, LN-FXV, OY-JES",2025
,,2012.,Cancelled NTU,Eurocopter EC 225LP Super Puma Mk.II,Eurocopter S.A.,"Marignane, France",OY-HOR,"F-WWOF, (OY-HOR) DanCopter A/S, LN-OYX, VP-CBW, N255EV, B-72G6",(2012)
,,,,,,,OY-EBW (2),"F-WWEI, (JA01LK), (OY-EBW), F-WKVH, OY-JZC ""Torver Viking"", ES-ATE, OY-NZF, HK-5466 / FAC1167",(2013)
28-22877,1967.0,1967.05.26,Cancelled 2025.11.12,Piper PA-28-140 Cherokee,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BBR,"OY-BBR, SP-",1967-2025
