registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-HTM,GA-7,Gulfstream American Aviation,1979,GA7-0086,1724.00,01.10.2012,Fly
LN-HAA,SZD-22,Zaklad Szybowcowy Jezow,1962,616,383.00,17.03.2014,Seilfly
LN-IFI,PA-28-181,"Piper Aircraft, Inc.",2017,2843926,1157.00,06.04.2021,Fly
LN-IGB,YAK-52,Aerostar SA,1988,888814,1305.00,13.05.1997,Fly
LN-IHH,EA 300/L,Extra Flugzeugbau GmbH,1999,084,950.00,02.12.2025,Fly
LN-III,F1 EVO,Team Rocket Aircraft,2007,132,952.50,09.03.2020,Fly
LN-IKA,TU206G,Textron Aviation Inc.,1981,U206-06251,1633.00,04.06.1982,Fly
LN-IKG,172C,Textron Aviation Inc.,1961,172-49042,1020.00,06.04.1962,Fly
LN-IKL,SR 22,Cirrus Design Corporation,2018,4604,1633.00,27.03.2018,Fly
LN-IKO,180B,Textron Aviation Inc.,1959,180-50435,1202.00,03.09.1962,Fly
LN-IKQ,FR172F,Reims Aviation S.A.,1969,F172-0101,1134.00,30.06.1969,Fly
LN-ILS,DHC-8-103,De Havilland Aircraft of Canada Limited,1995,396,15966.00,03.02.1995,Fly
LN-IMA,F152,Reims Aviation S.A.,1980,152-01720,758.00,23.04.2014,Fly
LN-INA,CASA 1.131 E-3B,"Construcciones Aeronauticas, S.A.",1957,E3B-529,720.00,30.07.2007,Fly
LN-ION,Pipistrel Alpha Electro 167,Pipistrel d.o.o. Ajdovščina,2019,927 AE 60,550.00,26.09.2019,Fly
LN-IPR,R182,Textron Aviation Inc.,1978,R18200704,1406.00,14.03.2011,Fly
LN-ITA,SR 20,Cirrus Aircraft Corporation,2011,2076,1315.00,03.05.2011,Fly
LN-ITB,PA-31,"Piper Aircraft, Inc.",1980,31-8012059,3100.00,23.02.2015,Fly
LN-IVE,Pitts Model 12,Bent Jacobsen,2012,152-1130,1021.00,04.05.2015,Fly
LN-IVP,Lancair IV-P,D.L.Simmons,1999,LIV-284-1063,1500.00,02.10.2018,Fly
LN-IXE,Spitfire IX,Vickers-Armstrongs Ltd.,,MK997,3742.00,19.12.2019,Fly
LN-JAB,JABIRU 400,Jabiru Aircraft Pty Ltd,2011,145,693.00,21.07.2011,Fly
LN-JAC,YAK-52,Aerostar SA,,855006,1305.00,13.06.2007,Fly
LN-JAL,PA-28-181,"Piper Aircraft, Inc.",1996,2843046,1157.00,12.02.2007,Fly
LN-JAN,C-34,Textron Aviation Inc.,,302,1066.00,02.01.2014,Fly
LN-JBI,182Q,Textron Aviation Inc.,1978,182-66054,1523.00,05.12.2016,Fly
LN-JET,DH 100 Vampire Mk.6,DeHavilland Aircraft Co. LTD,1952,655,5620.00,12.02.1999,Fly
LN-JIB,PA-18-90,"Piper Aircraft, Inc.",1954,18-3113,680.00,01.07.2016,Fly
LN-JMP,DHC-6-200,De Havilland Aircraft of Canada Limited,1968,184,5252.00,11.04.2006,Fly
LN-JON,SeaRey,Progressive Aerodyne Inc,2018,1DK377C,648.00,29.06.2018,Fly
LN-JOY,Skybolt,Steen Aero Lab,,JSG-1-889,.00,03.05.2010,Fly
LN-KAB,172S,Textron Aviation Inc.,2006,172S10237,1157.00,20.11.2006,Fly
LN-KAC,PA-22-150,"Piper Aircraft, Inc.",1957,22-5368,907.00,20.11.1974,Fly
LN-KAD,PA-18-150,"Piper Aircraft, Inc.",1978,18-7809141,794.00,15.01.1998,Fly
LN-KAF,PA-28-181,"Piper Aircraft, Inc.",1976,28-7690341,1157.00,10.06.1988,Fly
LN-KAI,PA-23-250,Homebuilt,1973,27-7304954,2359.00,13.07.1989,Fly
LN-KAJ,YAK-52,Aerostar SA,1985,855907,1305.00,12.05.2020,Fly
LN-KAK,J3C-65,"Piper Aircraft, Inc.",1944,LFS 1-56,553.00,09.03.1967,Fly
LN-KAO,A185E,Textron Aviation Inc.,1967,185-01187,1520.00,11.09.1967,Fly
LN-KAP,CAP 10B,Apex Aircraft,1981,130,830.00,06.03.2003,Fly
LN-KAY,DH-82A,DeHavilland Aircraft Co. LTD,1941,84616,828.00,21.11.2007,Fly
LN-KCA,A185E,Cessna Aircraft Company,1967,185-01302,1520.00,27.02.1968,Fly
LN-KCH,PA-18-150,"Piper Aircraft, Inc.",1967,18-8579,794.00,19.10.1967,Fly
LN-KCJ,Cessna 140,Textron Aviation Inc.,1946,140-11721,658.00,23.02.1972,Fly
LN-KCM,PA-18A-150,"Piper Aircraft, Inc.",1959,18-5878,794.00,06.09.1983,Fly
LN-KCO,PA-18-90,"Piper Aircraft, Inc.",1952,18-2051,680.00,22.04.1968,Fly
LN-KCU,PA-18-95,"Piper Aircraft, Inc.",1968,18-2053,680.00,22.04.1968,Fly
LN-KCY,M-7-235,"Maule Aerospace Technology, Inc.",1984,4014C,1134.00,05.07.1991,Fly
LN-KFK,PA-28-161,"Piper Aircraft, Inc.",2006,2842264,1107.00,30.10.2007,Fly
LN-KFM,DH 60M,Kjeller Flyhistoriske Forening,1929,711,748.00,09.03.2017,Fly
LN-KFT,DH-82,Kjeller Flyfabrikk,1935,185,828.00,23.08.2006,Fly
LN-KGB,Antonov-2,PZL-MIELEC,1988,1G23028,5500.00,23.10.2013,Fly
LN-KGW,B200GT,Textron Aviation Inc.,2018,BY-313,5670.00,17.07.2018,Fly
LN-KIN,Jabiru J400,Jabiru Aircraft Pty Ltd,2005,184,700.00,16.11.2021,Fly
LN-KIS,KIS TR-1,"Erstad, Hans Christian",2000,32,658.00,01.11.2001,Fly
LN-KKS,VL-3,JMB Aircraft s.r.o,2023,498,600.00,27.06.2023,Fly
LN-KLA,L-4J,"Piper Aircraft, Inc.",1944,13163,531.00,19.04.2000,Fly
LN-KLC,AA-5A,Grumman American Aviation Corporation,1978,AA5A-0549,999.00,30.05.1978,Fly
LN-KLD,TB 10,SOCATA,1981,225,1150.00,26.10.1981,Fly
LN-KLF,AA-5A,Grumman American Aviation Corporation,1978,AA5A-0610,999.00,08.02.1979,Fly
LN-KLH,AA-5A,Gulfstream American Corporation,1979,AA5A-0844,999.00,08.06.1979,Fly
LN-KLI,AA-5B,Gulfstream Aerospace Corporation,1979,AA5B-1131,1089.00,08.05.1979,Fly
LN-KLM,TB 9,SOCATA,1982,303,1060.00,21.03.1983,Fly
LN-KLO,TB 9,SOCATA,1986,692,1060.00,26.08.2009,Fly
LN-KLQ,M20J,Mooney Aircraft Corporation,1986,24-1597,1243.00,19.02.1987,Fly
LN-KPL,PA-34-200T,"Piper Aircraft, Inc.",1980,34-8070078,1999.00,28.09.2020,Fly
LN-KPX,DA20-C1,"Diamond Aircraft Industries, Inc.",1998,C0012,800.00,16.09.2022,Fly
LN-KTR,PA-28R-200,"Piper Aircraft, Inc.",1974,28R-7435046,1180.00,27.02.2006,Fly
LN-KVK,PA-32-301XTC,"Piper Aircraft, Inc.",2004,3255024,1633.00,04.09.2018,Fly
LN-KYV,B300,Textron Aviation Inc.,2011,FL-745,7484.00,06.05.2011,Fly
LN-LAB,RV-6,"Berg, Geir",2000,22930,726.00,29.04.2004,Fly
LN-LAG,Lancair 320,Neico Aviation Inc,1991,320,807.00,07.06.1993,Fly
LN-LCU,8KCAB,American Champion Aircraft Corporation,1999,832-99,885.00,27.01.2011,Fly
LN-LFB,M20C,Mooney Aircraft Corporation,1969,690028,1168.00,25.01.1984,Fly
LN-LFG,Rallye 180 T,SOCATA,1979,3242,950.00,24.03.1986,Fly
LN-LFJ,Pottier P180S,Homebuilt,1993,162,600.00,04.11.1994,Fly
LN-LFK,91B-2,SAAB-Scania AB,1957,91-341,1215.00,11.03.1983,Fly
LN-LFS,DA 42,Diamond Aircraft Industries GmbH,2008,42.305,1700.00,06.04.2016,Fly
LN-LFT,DA 40 D,Diamond Aircraft Industries GmbH,2003,D4.059,1150.00,05.07.2016,Fly
LN-LGG,F172 N,Reims Aviation S.A.,1979,F172-1929,1043.00,20.02.1996,Fly
LN-LGT,RV-6,"Van`s Aircraft, inc.",2009,60594,726.00,02.02.2010,Fly
LN-LIL,Long-EZ,Rutan Aircraft Factory INC,1996,607-197,.00,19.04.2022,Fly
LN-LJB,210G,Textron Aviation Inc.,1967,21058936,1542.00,11.04.1969,Fly
LN-LJF,F172H,Reims Aviation S.A.,1968,F172-0572,1043.00,08.08.1969,Fly
LN-LJJ,PA-18-90,"Piper Aircraft, Inc.",1953,18-3088,680.00,28.08.1969,Fly
LN-LJK,PA-18-90,"Berg, Iver ",1953,18-3103,680.00,30.04.2010,Fly
LN-LJM,PA-18-95,"Piper Aircraft, Inc.",1954,18-3122,680.00,27.08.1970,Fly
LN-LJU,RV-7,"Van`s Aircraft, inc.",2021,74876,816.00,23.05.2023,Fly
LN-LKV,PA-28RT-201T,"Piper Aircraft, Inc.",1979,28R-7931065,1315.00,08.08.2025,Fly
LN-LLT,RV-6,"Horan, Ernst D. Jr.",2006,60005,726.00,03.08.2010,Fly
LN-LMB,PA-28-140,"Piper Aircraft, Inc.",1968,28-24421,975.00,21.05.1968,Fly
LN-LME,PA-28-140,"Piper Aircraft, Inc.",1968,28-24441,975.00,21.06.1968,Fly
LN-LMG,A185F,Textron Aviation Inc.,1977,185-03278,1520.00,08.08.1977,Fly
LN-LMJ,U206C,Textron Aviation Inc.,1968,U206-01163,1633.00,04.02.1969,Fly
LN-LMQ,U206E,Cessna Aircraft Company,1971,U206-01608,1633.00,23.09.2002,Fly
LN-LMR,PA-28R-180,"Piper Aircraft, Inc.",1968,28R-30976,1135.00,04.03.1969,Fly
LN-LMU,91B-2,SAAB-Scania AB,1957,91.337,1215.00,20.07.2021,Fly
LN-LMY,91B-2,SAAB-Scania AB,1953,91-281,1215.00,17.04.2015,Fly
LN-LNO,787-9,The Boeing Company,2017,38779,250836.00,10.05.2024,Fly
LN-LNR,787-9,The Boeing Company,2017,38784,250836.00,04.04.2024,Fly
LN-LOB,Falco F.8L,"Brekke, Bjørn Joar",2017,1487,853.00,07.03.2017,Fly
LN-LOL,208B,Textron Aviation Inc.,2018,208B5431,3969.00,05.06.2018,Fly
LN-LTH,182E,Textron Aviation Inc.,1962,182-54027,1270.00,24.05.1996,Fly
LN-LTP,RV-4,,1996,1403,680.00,17.06.1997,Fly
LN-LTS,Dornier 228-212,Ruag Aerospace Services GmbH,2010,8301,6400.00,30.11.2010,Fly
LN-LYR,Dornier 228-202,Ruag Aerospace Services GmbH,1989,8166,6200.00,25.05.1994,Fly
LN-LYS,F150H,Textron Aviation Inc.,1968,0380,726.00,18.06.2012,Fly
LN-LZN,172S,Textron Aviation Inc.,2007,172S10492,1157.00,25.08.2010,Fly
LN-MAT,PA-34-200T,"Piper Aircraft, Inc.",1976,34-7670341,1999.00,11.02.1999,Fly
LN-MAV,L-4J,"Piper Aircraft, Inc.",1944,13157,550.00,02.12.2013,Fly
LN-MAX,DH-82A,DeHavilland Aircraft Co. LTD,1941,85738,828.00,06.08.1987,Fly
LN-MAZ,91D Safir,SAAB-Scania AB,1962,91-433,1215.00,14.02.1977,Fly
LN-MEP,PA-31-325,"Piper Aircraft, Inc.",1975,31-7512027,2948.00,30.10.2023,Fly
LN-MIG,SBLim-2,WSK-PZL Mielec,1952,1A01004,5600.00,24.11.2020,Fly
LN-MIL,112,Rockwell International,1976,452,1200.00,03.08.2007,Fly
LN-MJJ,B200GT,Textron Aviation Inc.,2017,BY-298,5670.00,20.12.2024,Fly
LN-MLM,PA-32R-301 Saratoga II HP,"Piper Aircraft, Inc.",1999,3246141,1633.00,13.01.2020,Fly
LN-MOK,182,Textron Aviation Inc.,1956,182-33768,1157.00,26.01.1990,Fly
LN-MOM,PA-28-180,"Piper Aircraft, Inc.",1967,28-3981,1090.00,11.08.1983,Fly
LN-MPS,FR172 J,Textron Aviation Inc.,1973,FR17200373,1157.00,11.02.2013,Fly
LN-MTE,182N,Textron Aviation Inc.,1970,182-60245,1338.00,11.04.1984,Fly
LN-MTF,R182,Textron Aviation Inc.,1978,R182-00551,1406.00,30.07.1987,Fly
LN-MTH,F172 N,Textron Aviation Inc.,1979,172-72201,1043.00,11.05.1994,Fly
LN-MTM,172P,Textron Aviation Inc.,1981,172-74333,1089.00,07.12.1987,Fly
LN-MTT,172M,Textron Aviation Inc.,1975,172-63835,1043.00,24.02.1988,Fly
LN-MTU,172P,Textron Aviation Inc.,1982,172-75510,1089.00,22.08.1990,Fly
LN-MTX,172P,Textron Aviation Inc.,1981,172-74671,1089.00,02.05.1988,Fly
LN-NAB,PA-31,"Piper Aircraft, Inc.",1980,31-8012029,3100.00,08.03.1994,Fly
LN-NAE,177RG,Textron Aviation Inc.,1976,177RG-1009,1270.00,22.06.1977,Fly
LN-NAG,PA-28-161,"Piper Aircraft, Inc.",1978,28-7816376,1055.00,05.06.1978,Fly
LN-NAH,PA-28-181,"Piper Aircraft, Inc.",1976,28-7690194,1157.00,04.06.1976,Fly
LN-NAQ,PA-28-181,"Piper Aircraft, Inc.",1976,28-7790302,1157.00,30.03.1977,Fly
LN-NAR,PA-28-161,"Piper Aircraft, Inc.",1976,28-7716054,1055.00,28.04.1977,Fly
LN-NAV,PA-18-90,"Piper Aircraft, Inc.",1951,18-1342,680.00,21.05.1975,Fly
LN-NAZ,PA-28-161,"Piper Aircraft, Inc.",1977,28-7816220,1055.00,13.04.1978,Fly
LN-NCC,De Havilland DHC-2 ,Viking Air Ltd.,1956,1167,2520.00,23.12.2010,Fly
LN-NEZ,DA 40 D,Diamond Aircraft Industries GmbH,2003,D4.065,1150.00,10.10.2003,Fly
LN-NFA,182Q,Textron Aviation Inc.,1978,182-66169,1406.00,10.02.1993,Fly
LN-NFD,A185F,Textron Aviation Inc.,1981,185-04152,1520.00,03.09.1981,Fly
LN-NFG,172P,Textron Aviation Inc.,1980,172-74277,1089.00,01.07.1983,Fly
LN-NFS,AA-5B,Grumman American Aviation Corporation,1980,AA5B-1208,1089.00,19.02.1986,Fly
LN-NFW,F172 N,Reims Aviation S.A.,1978,F172-1683,1043.00,29.05.1985,Fly
LN-NFX,172P,Textron Aviation Inc.,1981,172-74239,1089.00,11.09.1987,Fly
LN-NGD,737-8JP,The Boeing Company,2012,39049,78999.00,08.12.2021,Fly
LN-NGK,737-8JP,The Boeing Company,2013,39022,78999.00,16.12.2021,Fly
LN-NGM,737-8JP,The Boeing Company,2013,39024,78999.00,20.03.2019,Fly
LN-NGZ,737-8JP,The Boeing Company,2014,41127,78999.00,30.07.2014,Fly
LN-NHA,737-8JP,The Boeing Company,2014,41129,78999.00,09.09.2014,Fly
LN-NHE,737-8JP,The Boeing Company,2015,41136,78999.00,16.12.2021,Fly
LN-NHG,737-8JP,The Boeing Company,2015,41139,78999.00,16.12.2021,Fly
LN-NIB,737-86J,The Boeing Company,2011,36879,78999.00,20.10.2011,Fly
LN-NIG,737-8JP,The Boeing Company,2014,43878,78999.00,16.10.2014,Fly
LN-NIH,737-8JP,The Boeing Company,2014,43879,78999.00,26.11.2014,Fly
LN-NII,737-8JP,The Boeing Company,2014,43877,78999.00,16.12.2014,Fly
LN-NIK,737-8FZ,The Boeing Company,2010,29659,79015.00,23.03.2022,Fly
LN-NIL,737-8KN,The Boeing Company,2010,40237,79015.00,14.03.2022,Fly
LN-NIM,737-8KN,The Boeing Company,2010,40240,79015.00,07.03.2022,Fly
LN-NIN,737-81M,The Boeing Company,2007,30721,79015.00,21.02.2022,Fly
LN-NIO,737-81M,The Boeing Company,2008,35284,79015.00,17.03.2022,Fly
LN-NIP,737-86N,The Boeing Company,2013,38044,79015.00,06.07.2022,Fly
LN-NIQ,737-86N,The Boeing Company,2011,39403,79015.00,30.08.2022,Fly
LN-NKF,172R,Textron Aviation Inc.,2008,17281520,1111.00,10.07.2008,Fly
LN-NOD,737-8Q8,The Boeing Company,2008,35280,78999.00,04.06.2021,Fly
LN-NOK,PA-18-150,"Piper Aircraft, Inc.",1990,1809054,794.00,20.02.1996,Fly
LN-NPK,172B,Textron Aviation Inc.,1961,172-48518,998.00,07.10.1966,Fly
LN-NPO,PA-28-181,"Piper Aircraft, Inc.",1980,28-8090012,1157.00,27.03.1980,Fly
LN-NPQ,PA-28-181,"Piper Aircraft, Inc.",1978,28-7890340,1157.00,19.06.1978,Fly
LN-NPR,PA-28R-201,"Piper Aircraft, Inc.",1978,28R7837247,1247.00,28.09.1978,Fly
LN-NPT,PA-28-140,"Piper Aircraft, Inc.",1967,28-22832,976.00,05.05.1967,Fly
LN-NPW,PA-28-140,"Piper Aircraft, Inc.",1967,28-22917,975.00,29.05.1967,Fly
LN-NRA,AT01-100,AQUILA Aviation GmbH,2014,A-313,750.00,13.05.2014,Fly
LN-NRC,AT01-100,AQUILA Aviation by Excellence AG,2018,A-352,750.00,22.03.2018,Fly
LN-NRF,172S,Cessna Aircraft Company,2005,172S9998,1157.00,08.03.2006,Fly
LN-NRO,172S,Textron Aviation Inc.,2009,172S11011,1157.00,25.01.2011,Fly
LN-NVK,152,Textron Aviation Inc.,1978,152-81089,758.00,10.06.1988,Fly
LN-NAA,U206F,Textron Aviation Inc.,1976,03199,1633.00,03.03.2008,Fly
LN-OAB,AS350B3,Airbus Helicopters,2017,8380,2250.00,12.05.2017,Helikopter
LN-OAD,R22 Beta,Robinson Helicopter Company,1998,2755,621.00,03.03.1998,Helikopter
LN-OAE,R44,Robinson Helicopter Company,1997,0397,1089.00,23.06.2009,Helikopter
LN-OAF,AS350B3,Airbus Helicopters,2013,7668,2250.00,30.06.2014,Helikopter
LN-OAN,AS350B3,Airbus Helicopters,1999,3199,2250.00,28.06.1999,Helikopter
LN-OAP,269C-1,Schweizer Aircraft Corporation,1996,0057,794.00,05.08.1999,Helikopter
LN-OAQ,R44,Robinson Helicopter Company,2008,12623,1089.00,20.04.2009,Helikopter
LN-OAS,206B,Bell Helicopter Textron,1978,2369,1451.00,22.09.1999,Helikopter
LN-OAW,AS332L,Airbus Helicopters,1983,2053,8600.00,20.12.2013,Helikopter
LN-OBB,AS350B3,Airbus Helicopters,2001,3493,2250.00,23.01.2003,Helikopter
LN-OBC,Rotorway A600 Talon,RotorWay Helicopter MFG. CO.,2011,8039,680.00,16.07.2020,Helikopter
LN-OBD,AS350B2,Airbus Helicopters,2003,3650,2250.00,21.11.2007,Helikopter
LN-OBE,206B,Bell Helicopter Textron,1978,2550,1451.00,26.06.2025,Helikopter
LN-OBF,AS332L1,Airbus Helicopters,1992,2381,8600.00,22.03.2018,Helikopter
LN-OBG,206B,Bell Helicopter Textron,1976,2101,1451.00,26.06.2025,Helikopter
LN-OBH,Rotorway A600 Talon S,"Faye Lund, Petter Andreas",2011,8060,680.00,05.08.2011,Helikopter
LN-OBM,R44,Robinson Helicopter Company,1995,0197,1089.00,14.08.1995,Helikopter
LN-OBN,R44 II,Robinson Helicopter Company,2006,11094,1134.00,24.04.2006,Helikopter
LN-OBP,AS350B3,Airbus Helicopters,2002,3575,2250.00,17.07.2002,Helikopter
LN-OBR,EC120B,Airbus Helicopters,1999,1064,1715.00,19.01.2000,Helikopter
LN-OBV,BO105 C,Airbus Helicopters Deutschland GmbH,1987,S-680,2500.00,15.04.2003,Helikopter
LN-OBX,AS332C,Airbus Helicopters,1980,2001,8600.00,11.12.2003,Helikopter
LN-OCD,EC120B,Airbus Helicopters,2007,1492,1715.00,06.05.2019,Helikopter
LN-OCF,206B,Bell Helicopter Textron,1980,2949,1451.00,08.06.2021,Helikopter
LN-OCK,SE 3130 Alouette II,"Johansen, Kåre Jan",1959,1268,1497.00,04.04.2005,Helikopter
LN-OCL,R44 II,Robinson Helicopter Company,2009,12630,1134.00,20.04.2009,Helikopter
LN-OCM,SE 313B Alouette II,Airbus Helicopters,1960,1507,1497.00,30.07.2015,Helikopter
LN-OCW,AS350B3,Airbus Helicopters,2005,3942,2250.00,20.06.2005,Helikopter
LN-OCZ,AS350B3,Airbus Helicopters,2019,8690,2250.00,05.04.2019,Helikopter
LN-ODD,R44 II,Robinson Helicopter Company,2025,14836,1134.00,02.04.2025,Helikopter
LN-ODE,SA 342 M,Aérospatiale,1983,4032,1900.00,11.06.2021,Helikopter
LN-ODG,269C,Schweizer Aircraft Corporation,1988,S 1316,928.00,20.07.2000,Helikopter
LN-ODI,SE 3130 Alouette II,Süd-Aviation,1962,1718,1600.00,08.12.2020,Helikopter
LN-ODL,AW139,Leonardo S.p.A.,2018,31805,6800.00,28.05.2018,Helikopter
LN-ODM,AW139,Leonardo S.p.A.,2018,31810,6800.00,08.06.2018,Helikopter
LN-ODS,AS350B3,Airbus Helicopters,2002,3601,2250.00,23.08.2002,Helikopter
LN-ODV,R44 II,Robinson Helicopter Company,2008,12228,1134.00,08.10.2008,Helikopter
LN-ODY,AS350B3,Airbus Helicopters,2024,9568,2250.00,21.03.2024,Helikopter
LN-ODZ,EC130B4,Airbus Helicopters,2008,4486,2427.00,26.05.2008,Helikopter
LN-OEA,AW189,Leonardo S.p.A.,2025,49111,8600.00,02.07.2025,Helikopter
LN-OEB,AW189,Leonardo S.p.A.,2025,49114,8600.00,06.10.2025,Helikopter
LN-OEF,R44,Robinson Helicopter Company,1996,0239,1089.00,27.08.1996,Helikopter
LN-OEM,EXEC 162F,Homebuilt,,6966,680.00,17.09.2008,Helikopter
LN-OFD,AS350B3,Airbus Helicopters,2014,7796,2250.00,21.07.2014,Helikopter
LN-OFE,AS350B3,Airbus Helicopters,2015,8065,2250.00,09.03.2015,Helikopter
LN-OFP,R44 II,Robinson Helicopter Company,2008,12561,1134.00,18.04.2011,Helikopter
LN-OFV,AS350B3,Airbus Helicopters,2019,8723,2250.00,11.06.2019,Helikopter
LN-OGA,AS350B3,Airbus Helicopters,2020,8843,2250.00,02.06.2020,Helikopter
LN-OGE,AS350B3,Airbus Helicopters,2020,8880,2250.00,21.07.2020,Helikopter
LN-OGH,AS350B3,Airbus Helicopters,2020,8882,2250.00,21.07.2020,Helikopter
LN-OGJ,R44 II,Robinson Helicopter Company,2005,10657,1134.00,17.03.2005,Helikopter
LN-OGK,R44 II,Robinson Helicopter Company,2008,12236,1134.00,21.04.2008,Helikopter
LN-OGL,AS350B3,Airbus Helicopters,2004,3792,2250.00,19.04.2004,Helikopter
LN-OGM,R44 II,Robinson Helicopter Company,2005,10731,1134.00,02.11.2006,Helikopter
LN-OGP,AS350B3,Airbus Helicopters,2020,8891,2250.00,21.07.2020,Helikopter
LN-OGQ,AS350B3,Airbus Helicopters,2021,8956,2250.00,24.03.2021,Helikopter
LN-OGS,R44,Robinson Helicopter Company,2006,1685,1089.00,03.07.2007,Helikopter
LN-OGV,AS350BA,Airbus Helicopters,1978,1030,2100.00,25.09.2007,Helikopter
LN-OGW,AS350B3,Airbus Helicopters,2021,8988,2250.00,24.06.2021,Helikopter
LN-OIA,S-92A,Sikorsky Aircraft Corporation,2012,920174,12020.00,14.12.2017,Helikopter
LN-OIB,S-92A,Sikorsky Aircraft Corporation,2011,920159,12020.00,17.03.2017,Helikopter
LN-OIC,S-92A,Sikorsky Aircraft Corporation,2013,920197,12020.00,23.03.2017,Helikopter
LN-OID,S-92A,Sikorsky Aircraft Corporation,2015,920282,12020.00,28.03.2017,Helikopter
LN-OIE,S-92A,Sikorsky Aircraft Corporation,2013,920166,12020.00,08.05.2018,Helikopter
LN-OIF,S-92A,Sikorsky Aircraft Corporation,2012,920176,12020.00,01.02.2018,Helikopter
LN-OIG,S-92A,Sikorsky Aircraft Corporation,2013,920200,12020.00,16.01.2018,Helikopter
LN-OIH,S-92A,Sikorsky Aircraft Corporation,2013,920196,12020.00,01.07.2021,Helikopter
LN-OII,S-92A,Sikorsky Aircraft Corporation,2014,920224,12020.00,30.06.2021,Helikopter
LN-OIJ,S-92A,Sikorsky Aircraft Corporation,2012,920169,12020.00,30.01.2023,Helikopter
LN-OIK,S-92A,Sikorsky Aircraft Corporation,2016,920296,12020.00,07.03.2023,Helikopter
LN-OIM,S-92A,Sikorsky Aircraft Corporation,2017,920301,12020.00,20.02.2023,Helikopter
LN-OIN,S-92A,Sikorsky Aircraft Corporation,2009,920126,12020.00,27.06.2023,Helikopter
LN-OJJ,IAR 316B Alouette III,IAR / Kåre Jan Johansen,1973,12,1990.00,23.12.2010,Helikopter
LN-OJS,SA 315B,"Johansen, Kåre Jan",2020,KJJ002,1990.00,10.12.2020,Helikopter
LN-OKA,R44 II,Robinson Helicopter Company,1997,11677,1134.00,09.05.2008,Helikopter
LN-OKB,R44 II,Robinson Helicopter Company,2008,12381,1134.00,29.07.2008,Helikopter
LN-OKC,R44,Robinson Helicopter Company,2000,0868,1089.00,17.02.2022,Helikopter
LN-OKD,R44,Robinson Helicopter Company,2002,1196,1089.00,17.02.2022,Helikopter
LN-OKI,R44 II,Robinson Helicopter Company,2008,12150,1134.00,07.03.2008,Helikopter
LN-OKK,R44 II,Robinson Helicopter Company,2006,11279,1134.00,28.06.2006,Helikopter
LN-OKN,SE 3130 Alouette II,Airbus Helicopters,1963,1842,1497.00,26.01.2016,Helikopter
LN-OKV,SE 3130 Alouette II,Sud Aviation,1957,1128,1497.00,14.07.2005,Helikopter
LN-OLA,AW139,Leonardo S.p.A.,2025,32120,7000.00,08.08.2025,Helikopter
LN-OLB,AW139,Leonardo S.p.A.,2025,32123,7000.00,14.10.2025,Helikopter
LN-OLC,AW139,Leonardo S.p.A.,2025,32108,7000.00,01.07.2025,Helikopter
LN-OLD,AW139,Leonardo S.p.A.,2025,32110,7000.00,28.11.2025,Helikopter
LN-OLE,AW139,Leonardo S.p.A.,2026,32125,7000.00,14.01.2026,Helikopter
LN-OLG,AS350B2,Airbus Helicopters,1989,2198,2250.00,12.04.1994,Helikopter
LN-OLH,206B,Bell Helicopter Textron,1974,1491,1451.00,05.09.2024,Helikopter
LN-OLI,A109E,Leonardo S.p.A.,2002,11204,2850.00,31.10.2002,Helikopter
LN-OLK,AW139,AgustaWestland Philadelphia Corporation (AWPC),2019,41545,7000.00,19.08.2019,Helikopter
LN-OLR,AS332L1,Airbus Helicopters,1991,2332,8600.00,02.01.2014,Helikopter
LN-OLV,AW139,Leonardo S.p.A.,2017,31765,7000.00,16.04.2024,Helikopter
LN-OMA,SE 3130 Alouette II,Airbus Helicopters,1962,1655,1497.00,22.11.2019,Helikopter
LN-OMC,SA 315B,Aérospatiale,2022,CAM001,1950.00,05.08.2022,Helikopter
LN-OMF,AS332L,Airbus Helicopters,1983,2067,8600.00,19.05.2004,Helikopter
LN-OMI,S-92A,Sikorsky Aircraft Corporation,2015,920287,12020.00,05.05.2020,Helikopter
LN-OML,505,Bell Textron Canada Ltd.,2018,65129,1669.00,19.08.2021,Helikopter
LN-OMM,AS350B3,Airbus Helicopters,2022,9220,2250.00,12.05.2022,Helikopter
LN-OMN,269C,Schweizer Aircraft Corporation,1991,S-1573,928.00,19.07.2021,Helikopter
LN-OMP,AS350B3,Airbus Helicopters,2023,9408,2250.00,21.04.2023,Helikopter
LN-OMR,EC120B,Airbus Helicopters,2001,1249,1715.00,27.01.2023,Helikopter
LN-OMX,AS332L1,Airbus Helicopters,1991,2351,8600.00,06.06.1996,Helikopter
LN-ONA,S-92A,Sikorsky Aircraft Corporation,2011,920144,12020.00,09.09.2011,Helikopter
LN-ONB,S-92A,Sikorsky Aircraft Corporation,2011,920145,12020.00,09.09.2011,Helikopter
LN-ONC,S-92A,Sikorsky Aircraft Corporation,2011,920148,12020.00,07.11.2011,Helikopter
LN-OND,S-92A,Sikorsky Aircraft Corporation,2008,920088,12020.00,13.08.2012,Helikopter
LN-ONE,S-92A,Sikorsky Aircraft Corporation,2013,920213,12020.00,30.01.2014,Helikopter
LN-ONH,S-92A,Sikorsky Aircraft Corporation,2008,920094,12020.00,05.09.2016,Helikopter
LN-ONM,S-92A,Sikorsky Aircraft Corporation,2014,920228,12020.00,12.08.2016,Helikopter
