registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-WIU,DHC-8-103,De Havilland Aircraft of Canada Limited,1993,378,15966.00,06.01.2010,Fly
LN-WIV,DHC-8-103,De Havilland Aircraft of Canada Limited,1992,343,15966.00,30.03.2011,Fly
LN-WIW,DHC-8-103,De Havilland Aircraft of Canada Limited,1997,501,15966.00,27.09.2017,Fly
LN-WIX,DHC-8-103,De Havilland Aircraft of Canada Limited,2002,593,15966.00,21.12.2017,Fly
LN-WIY,DHC-8-103,De Havilland Aircraft of Canada Limited,1997,472,15966.00,21.03.2024,Fly
LN-WNB,MH-1521 Broussard,Max Holste,1956,16,2700.00,14.10.1994,Fly
LN-WNC,Nanchang CJ-6A,Nanchang aircraft manufacturing company,1988,4532008,1400.00,27.10.2022,Fly
LN-WND,C-53D,McDonnell Douglas Corporation,1942,11750,11430.00,30.07.1986,Fly
LN-WNH,AT-6D,North American Aviation Inc.,1943,88-14552,2404.00,16.07.1986,Fly
LN-WNJ,CASA 1.131 E-3B,"Construcciones Aeronauticas, S.A.",1960,312,720.00,03.03.2017,Fly
LN-WNN,Bleriot XI-2 ARTILLERIE,"Ellingsen, Øyvind Munch",2013,Craftlab B1,720.00,07.02.2014,Fly
LN-WNO,Cessna 305C Bird  Dog,Textron Aviation Inc.,1957,24568,1089.00,13.06.2000,Fly
LN-WNS,Fi 156C,Fieseler Werke Gmbh,1944,1816,1260.00,01.08.2012,Fly
LN-WOW,DA 42 NG,Diamond Aircraft Industries GmbH,2021,42.N442,1999.00,18.01.2022,Fly
LN-WSA,DHC-8-202,De Havilland Aircraft of Canada Limited,1996,435,16465.00,17.08.2012,Fly
LN-WSB,DHC-8-202,De Havilland Aircraft of Canada Limited,1996,440,16465.00,27.04.2012,Fly
LN-WSC,DHC-8-202,De Havilland Aircraft of Canada Limited,1996,441,16465.00,04.06.2012,Fly
LN-WSD,DHC-8-202,De Havilland Aircraft of Canada Limited,1996,427,16465.00,17.02.2025,Fly
LN-WTF,Turbo Shark 600 EXP,Shark Aero s.r.o,2024,125,600.00,19.03.2024,Fly
