registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-HMY,Eurocopter AS.365N2  Dauphin,6446,1993,1993-2000,AS65,"F-WYMN, OY-HMY Maersk Air A/S, 5N-BBR, EP-HCK, 5N-BJE, LN-OCM, D-HOAR, WFU"
OY-HMJ,SNIAS AS.332L Super Puma,2082,1983,1996-1999,AS32,"F-WKQA, LN-OLB, OY-HMJ, LN-OLB, G-CIOI, (D-HBGL), G-CIOI, OE-XAP"
OY-DUW,Piper PA-22-150  Tri-Pacer,22-3901,1956,1967-1991,PA22,"LN-BDU, OY-DUW, SE-CHD, LY-OHO, WFU"
OY-CPH,Cessna 172E Skyhawk,17251334,1964,1987-2020,C172,"N5434T, OY-CPH, scrapped"
OY-CGH,Piper PA-42-720 Cheyenne III,42-8001046,1981,1987-1992,PAY3,"N4089U, N99CS, OY-CGH, N148CA, N75AW, N932BF, 4X-CBF, N75AW, (PR-BRT), N75AW"
OY-CFN,Piaggio FW-P.149D,172,1960,1985-2013,P149,"KB+148, DA+386, EB+390, 91+50, D-EHLG, OY-CFN, OE-KSC +1.11.17 near Hadersdorf am Kamp."
OY-ALN(2),De Havilland DH.82A Tiger Moth,85593,1942,2020,DH82,"DE639, G-APLI, SE-COG, OY-ALN"
OY-HZM(2),Bell 505 Jet Ranger X,65157,2018,2020,B505,"(C-FZGX), OY-HZM"
OY-AUO,Swearingen SA226-TC Metro II,TC-374,1980,"1980-1981 
1989-1989
1989-1998",SW4,"N10104, OY-AUO Superflite Air Service, LN-SAP, SE-IKP, (D-IAEF), OY-AUO Jetair, EC-GXJ"
OY-DJK,Beagle-Auster A.61 Terrier 1,3741,1964,1970,AUS6,"WE554, SE-ELN, OY-DJK,"
OY-XGF,Grob G-102 Astir CS,1427,1977,1977-2020,,"OY-XGF Competition number G5, OK-5432"
OY-VPS,Vulcanair P68 Observer 2,495-50/OB2,2020,2020,P68,
OY-VIP(1),Cessna 500 Citation I,500-0311,1976,(1998),C500,"N5311J, N818CD, OH-COL, N501RL, N39RE, SE-DRT, (OY-VIP), SE-DRT, (LN-PBJ), LN-AAF, I-RAGW, YV3342, YV634T, YV3488"
OY-SEL,Boeing 737-8BK/W,"33018
1488",2004,2004-2008,B738,"OY-SEL Sterling European Airlines, EI-EDL, LN-NOS(2), C-GOFW, OM-KEX, TF-KEX, OM-KEX"
OY-PLB,Pilatus PC-12/47,803,2007,2007-2007,PC12,"OY-PLB Air Alpha Aircraft Sales A/S, RA-01500, N803SS"
OY-PIN,Rutan Long-EZ,103-116,1983,1993-2020,LGEZ,"SE-XFG, OY-PIN, F-PHDE"
OY-PBY,Short SD3-60,SH 3690,1986,"(2016)
2020",SH36,"G-14-3690, G-BMLE, N690PC, C6-BFT, G-SSWB, G-TMRB, OY-PBY Alebco Corporation 2 K/S,"
OY-MIX (2),Rolladen-Schneider LS1-d,44,1970,2020,,"D-0432, OY-MIX (2)"
OY-HRG,Robinson R44 Clipper II,11709,2007,2007-2020,R44,Crashed 6.9.2014 Storebælt off Røsnæs
OY-HIT,Eurocopter AS350 B2 Ecureuil,9087,2007,2013,AS50,"F-WQED, LN-OZD, TF-BWH, (OY-HIP), OY-HIT Blue West Helicopters Greenland ApS"
OY-DJJ,SOCATA MS.892A Rallye Commodore 150,11405,1969,1969-1991,RALL,"Broken up 1991, the remains sold to LTD Profavia, Ukraine 2020"
OY-CTC,de Havilland DHC-7 Dash 7,101,1984,1988-2012,DHC7,"C-GFQL, ZK-NEW, G-BNDC, OY-CTC Grønlandsfly, Air Greenland ""Minniki"" (den, der lander kort), C-GCPY, WFU 2020"
OY-BGW,Piper PA-28-140  Cruiser,28-7425100,1973,1974-2019,P28A,"(SE-GDZ), OY-BGW, (LN-LFY), OH-BGW"
OY-YAE,Aeritalia/SNIAS ATR 72-500 (72-212A),705,2003,2014-2020,AT75,"F-WWED, I-ATPM, G-CGFX, TC-YAE, OY-YAE NAC Aviation 8 Limited, PK-PAT"
OY-KCB (3),De Havilland Canada DHC-8-402QPF Dash 8,4008,1999,2000-2000,DH8D,"C-GFOD, (SE-LOA), (SE-LRA), OY-KCB (1) SAS ""Herta Viking"", LN-RDQ, SE-LSM (converted to Dash 8-402PF freighter, stored Exeter,UK 2010, ""SE-ESM"", 5Y-VVU, written off 14.7.20 Belet Uen, Somalia (HCMN)"
OY-9454,Denney Kitfox Mk.2,PFA 172-11906,2000,,FOX,"G-FSHA, OY-9454, +23.06.20 Hundtofte, Fyn"
OY-XPF,Schleicher ASW 20CL,20862,1987,1988,,"OY-XPF Competition number PF, Damaged 13.07.20 Bad Gandersheim, Germany"
OY-EBW (1),Aeritalia/SNIAS ATR 72-500 (72-212A),743,2007,2014-2016 2016-2017,AT75,"F-WWED, VT-KAG, M-YWAA, OY-EBW NAC Aviation 8 Limited, VT-APD, OY-EBW, 9G-SBF, seriously damaged at Kumasi, Ghane (DGSI) on 25.11.2017"
OY-XNY,Glaser-Dirks DG-400,4-136,1985,1985-2020,DG40,"OY-XNY Competition number NY, D-KXNY"
OY-XLL,Schleicher ASW 20F,20199,1981,1981-2018,,"Competition number LL, Foreningen OY-XLL, D-1345"
OY-XJZ (1),Schleicher ASW 19B,19271,1979,1979-2020,,"Competition number Y4, D-7378"
OY-RUI,De Havilland Canada DHC-8-106 Dash 8,335,1992,2012-2014,DH8A,"C-GFCF, N829MA, N843EX, C-FIZE, TF-JMA, OY-RUI, Danish Air Transport, N891EA, wfu Anchorage, AL 2020"
OY-RJC,Canadair CL-600-2B19 Regional Jet CRJ-200LR,7015,1993,2006-2018,CRJ2,"C-FMLQ (CRJ-100LR), (D-ARJF), D-ACLF (Modified to CRJ-200LR 2006), OY-RJC Cimber Air (Leased from  NAC)). Global Raech Aviation, D-ANSK, wfu Leipzig, Germany 2020"
OY-PRD,Rockwell Commander 112A,468,1976,1976-1978,AC11,"(N1468J), (SE-FLX), OY-PRD, D-EARC, w/o at Straubing, Germany 17.1.2020"
OY-KXS,Schleicher ASH 26E,26084,1996,2006-2019,AS26,"D-KDSY, OY-KXS competition number KS, (D-KYHW), D-KHIE res. 9.2019,"
OY-EXP(1),SZD-48 Jantar Standard 2,W-903,,(2005),,"SP-3171, SE-UIX, (OY-EXP(1)), SE-UIX, (HA-), D-4424, wfu Dunaujvaros, Hungary 2020"
OY-EXM(1),Schleicher ASW 27,27226,2005,2005-2019,,"Competition number EM, D-2734"
OY-DHS,Britten-Norman BN-2A-8 Islander,188,1970,1971-1972,BN2P,"G-51-188, OY-DHS, G-BAKZ, LN-BNI, G-BAKZ, C-GUAW, N8000J, P2-MFI, VH-CWG, H4-AT2, YJ-AT2, + 15.07.24 Port Vila, Vanuatu"
OY-DDR,Mooney M.20E Super 21,1151,1966,(1966),M20P,"(N3475X), (OY-DDR), D-EHNJ, wfu Rothenburg-Görlitz, Germany 2020"
OY-VIP(3),Cessna 550 Citation II,550-0182,1980,2017-2020,C550,"N88830, (F-BKFB), F-GCSZ, N78TF, F-GEFB, N30XX, N165MC, (F-HACA), N107CF, F-HACA, OY-VIP, OH-CHF"
OY-HKN,Robinson R44 Astro,0347,1997,2009-2020,R44,"G-FLYS, OY-HKN, (D-HUFG), OY-HKN Novotec Solar GmbH D-HUFG"
OY-GBF,Tecnam P2006T,084,2011,2020,P06T,"SE-MGB, OY-GBF"
OY-BFM,Reims Cessna F.172M Skyhawk,F17201096,1973,1973-2020,C172,"OY-BFM, (EC-), TG-"
OY-BJB,Reims Cessna F.152,F1521450,1977,1978-1983,C152,"OY-BJB, G-BKTV, wfu 2017"
OY-BFG,Cessna 310Q,310Q0119,1970,1973-1976,C310,"N7619Q, SE-FRC, OY-BFG, SE-FRC.  Instructional airframe 1983 at Gripenskolan, Nyköping, sweden"
OY-BAE,Piper PA-28-180 Cherokee C,28-2171,1965,1965-1991,P28A,"(SE-EOZ), OY-BAE Crashed 21.9.1990 Hobro Vest"
OY-PND,Lancair 235,110,,,LNC2,"(OY-PND), PH-BBI"
OY-TRJ,Cessna 150D,15060153,1963,1964-1968,C150,"(N4153U), OY-TRJ, G-AWAX, damaged 3.2.1980 Fenland, converted to tailwheel version, G-AWAX, (OO-WAX), G-AWAX,"
OY-MMZ,Boeing 737-3L9,"25360
2140",1991,1991-1991,B733,"OY-MMZ Maersk Air, PP-SOU, stored Rio de Janeiro 2005, N103VR scrapped -4-2008."
OY-BHK,Cessna 402B,402B0824,1974,1985-1992,C402,"N3947C, SE-GKU, OY-BHK, 5H-ZAN, crashed 9.3.1994 Ngara, Tanzania"
OY-XJL,Schleicher ASW 19B,19234,1978,1979,,"Competition number P5, Århus Svæveflyveklub, damaged at True 19.5.2020"
OY-SBM,McDonnell-Douglas DC-8-63,"45924
392",1968,1984-1987,DC86,"SE-DBH, HS-TGZ, OY-SBM  Sterling Airways, SAS,  Scanair, ""Dana Viking"", SE-DBH,  N791AL, N353AS, EI-CGO, 9G-NHA, impounded at Lagos, Nigeria 2004, broken up in 2013"
OY-NUK,Beech 200 Super King Air,BB-634,1980,1991-2005,BE20,"N6692D, N101CP, OY-NUK Nuna Air, Grønlandsfly, Air Greenland, (LN-ASZ), OY-NUK, N469JB, (N13MX), VH-ODI, VH-PIY"
OY-KTG,McDonnell-Douglas DC-8-63PF,"46093
496",1969,1973-1988,DC8,"N8758, OY-KTG SAS ""Torodd Viking"", Scanair, N790AL, N816AX, 9G-RAC, wfu and stores at Ras Al Khaimai, UAE"
OY-KTF,McDonnell-Douglas DC-8-63,"46041
439",1969,1969-1989,DC8,"OY-KTF SAS ""Frode Viking"", ""Mette Viking"", N792AL, HK-3490X, N792AL, N814AX, 9G-AXE, stored Ostend, Belgium 2010, broken up in 2013"
