registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-CFL,Grumman American AA-5B Tiger,AA5B-0565,1977,1985-2012,AA5,"N28333, D-EFZW, (N5479Y), LN-NFY, OY-CFL, crashed 14.7.2006 Höganäs, Sweden"
OY-BEF,Piper PA-23-250  Aztec F,27-7654185,1976,1981-2005,PA27,"LN-NAX, OY-BEF, 5R-"
OY-KLE,Douglas DC-3A (C-53B-DO),4828,1942,1950-1954,DC3,"41-20058, NC34989, OY-DCA DDL, OY-KLE SAS""Arv Viking"", OH-VKA, LN-KLV, OH-VKA, N65371, ""N569R"", Air Classic Frankfurt Airport 1993. München Airport as ""HB-IRN"""
OY-DCA,Douglas DC-3C (C-53B-DO),4828,1941,1945-1950,DC3,"41-20058, NC34989, OY-DCA DDL, OY-KLE SAS""Arv Viking"", OH-VKA, LN-KLV, OH-VKA, N65371, ""N569R"", Air Classic Frankfurt Airport. On display at München Airport as ""HB-IRN"" 1993"
OY-BPA,Gulfstream Commander 695A,96003,1981,1981-1983,AC95,"N9906S, OY-BPA, ZS-LLL, N17CG, N9906S"
OY-UBX,Schleicher ASH 26E,26090,1996,2005,AS26,"G-DAVT, OY-UBX competition number HB"
OY-GEL,Beech 300 Super King Air,FA-199,1989,1989-1996,BE30,"OY-GEL, N42GA, N30MC, N169MC, N199CE, YV3357"
OY-BEB,Beech 65-C90 King Air,LJ-971,1981,1981-1996,BE9L,"OY-BEB, N971CF, N959CM, N959GM, N36TG"
OY-CKP,Beech B200 Super King Air,BB-951,1981,2006,BE20,"RP-C969, VH-AGB, RP-C969, N3HR, LX-ALX, OY-CKP COWI A/S"
OY-AUY (2),Beech 200 Super King Air,BB-703,1980,,BE20,"(OY-AUY), N703KH, AN-236 Ecuadorian Navy"
OY-NLA,Cessna 650 Citation III,650-0070,1985,"2002-2005,
2006",C650,"(N1315A), N149C, N370QS, N370TG, LN-NLD, OY-NLA Air Alsie, N38ED,
OY-NLA North Flying"
OY-LEV,Bölkow Bö 208C Junior,675,1968,2006,JUNR,"D-EGZH, OY-LEV"
OY-NFX,Hoffmann HK-36R Super Dimona,36362,1992,2006,DIMO,"D-KDPT, OY-NFX"
OY-TRY,Piper PA-28R-200 Cherokee Arrow,28R-35167,1969,1974,P28R,"N9452N, OO-ISF, OY-TRY, damaged 12.7.1990  Kirke Hyllinge"
OY-KGC,McDonnell-Douglas DC-9-41,"47286
359",1968,1968-1991,DC94,"OY-KGC SAS ""Helge Viking"", N758NW, stored Marana 2006"
OY-LAZ,Piper PA-34-220T  Seneca V,3449225,2001,2001-2002,PA34,"N9528N, OY-LAZ, D-GUFI"
OY-ELG,Piper PA-18-95 Super Cub,18-1596,1952,2004-2005,PA18,"51-15596, ALAT 181596, D-ECXO, OY-ELG, G-OVON"
OY-ELO,Cessna 172S Skyhawk SP,172S8576,2000,2006,C172,"N576PD, OY-ELO"
OY-EXA,DG Flugzeugbau DG-808C,8-340B239X7,2005,2006,DG80,
OY-CHT,Bede BD-5,1386B,,,BD5,OY-9504
OY-GMB,Cessna 550 Citation II,550-0071,1979,,C550,"N4308G, C-GDPD, N404BF, N404BV, CS-DCI, (OY-GMB), OY-GMK Aviation Assistance, (D-CIRR), OE-GAD, SE-RIM"
OY-MBS,Canadair CL-600-2B19 Regional Jet CRJ-200,7283,1998,2000-2002,CRJ2,"C-FMND, G-MSKN, OY-MBS Maersk Air, N785BC, OE-LSS, N208BC, N502CG, (N508BC), N502CG, G-MKSA, C-FXLH"
OY-CLD,Canadair CL-600-2B16 (CL-601-3A) Challenger,5070,1990,2000-2006,CL60,"C-GLXO, N980HC, N780HC, N305FX, (D-AAFX), OY-CLD Execujet Scandinavia, ZS-SGC"
OY-CIJ,Aeritalia/SNIAS ATR 42-320,296,1992,(1992),AT43,"F-WWLV, (OY-CIJ), VR-BNH, VP-BNH, F-WQNC, (D4-CBQ), J5-GZZ, D4-CBQ"
OY-PHE,Piper PA-32-301XTC (Piper 6XT),3255020,2004,(2004),PA32,"N3063T, N9523N, N30XT, (OY-PHE) Air Alpha Aircraft Sales, OY-GUN, damaged 1.6.2014 Tirstrup (EKAH)"
OY-USA,Boeing 757-24APF,"25462
569",1993,2001-2005,B752,"N431UP, OY-USA Star Air (UPS), N431UP"
OY-BYJ,Piper PA-31-310  Navajo C,31-8012029,1980,1985-1994,PA31,"N3552V, PH-URI, N1002W, PH-URI, 
OY-BYJ Alpha Air Taxi, LN-NAB"
OY-ANI,Convair CV-990-30A-5 Coronado,25,1962,1967-1968,,"N5613, OY-ANI Internord, N5613, OD-AFH, N6845, EC-BZR, crashed 3.12.1972 Tenerife North (GCXO). Stalled on takeoff in fog"
OY-JEO,Swearingen SA226-TC Metro II,TC-318,1979,1990-1999,SW4,"N5476M, OY-JEO Jetair, EC-HJC"
OY-XTP,Schleicher ASW 19B,19266,1979,1994-1999,,"OE-5206, D-3588, OY-XTP, competition number TP, EC-HBD"
OY-CTX,Hoffmann H-36 Dimona,3690,1984,2006,DIMO,"(D-KLBD), SE-TUZ, LN-GMZ, SE-TUZ, OY-CTX"
OY-AZN,Piper PA-31-310  Navajo,31-491,1969,1980-1996,PA31,"N6600L, F-OCPC, F-BYCQ, G-BGYI, OY-AZN, LN-AZN, C-GILV"
OY-CMK,Druine D.31 Turbulent,373,1976,1977-1987,D31,"OY-CMK, SE-XHH, crashed 21.7.1996 Optand, Sweden (ESNM)"
OY-BAD,Maule M-4 Bee-Dee,45,1963,1964-1979,M4,"N4702T, G-ASPH, OY-BAD, crashed 28.10.1972 Billund"
OY-KGL,McDonnell-Douglas DC-9-41,"47597
713",1974,1974-2002,DC94,"N54631, OY-KGL SAS ""Angantyr Viking"", N97XS, Roswell 2006"
OY-KGW,McDonnell-Douglas DC-9-32,"47113
213",1967,1967-1968,DC93,"OY-KGW SAS ""Ossur Viking"", HB-IFS, N536TX,  N536NY, N12536, stored Tuscon 2004"
OY-XUZ,Orlican Discus CS,168 CS,1994,2006-2009,,"D-1590, OY-XUZ competition number BT, D-1680"
OY-MXI,Schleicher ASW 20 L,20238,1979,2006,,"LX-CGE, OO-ZGE, OY-MXI competition number MI"
OY-XCM,SZD-36A Cobra 15,W-690,1974,1974-2005,,"Competition number N5, SP-3710,"
OY-XEJ,SZD-24C Foka Standard,196,1963,1966-2005,,"Competition number 20, SP-3702"
OY-AYF,American AA-1 Yankee,AA1-0446,1970,"1970-1983, 
1986-2005",AA1,"(N6246L), OY-AYF, SE-INF, OY-AYF, crashed 16.7.2002 Havdrup, Roskilde"
OY-LAS,Piper PA-46-350P  Malibu Mirage,4636330,2002,2002-2005,PA46,"N53517, OY-LAS Air Alpha Aircraft Sales A/S, YL-CHD, N53517,"
OY-MLY,Boeing 737-73S,"29076
98",1998,2005-2006,B737,"N1786B, N102UN, D-AGEY, OY-MLY Maersk Air,Sterling, PR-GIF, stored 3.2016"
OY-LMX,Schleicher K.8B,8574/A,1967,1998-2005,,"D-5299, OY-LMX, competition number C4, HA-"
OY-TON,Piper PA-31-310 Turbo Navajo,31-414,1969,1974,PA31,"N6458L, 5Y-AJU, D-ILTD, OY-TON Cimber, Aalborg Air Taxi"
OY-DVL,Cessna 500 Citation,500-0036,1972,1972-1981,C500,"N536CC, OY-DVL, SE-DEU, D-IEXC, 
N18HJ, OO-LCM, N50812. WFU Bruxelles as OO-LCM"
OY-BDS,Dassault Falcon 20C-5,180/460,1970,1970-1999,FA20,"F-WMKF, OY-BDS, I-GOBJ, F-GVJR, F-OVJR, crashed 15.2.2006
Kiel-Holtenau, Germany"
OY-INI,Cessna 501 Citation I/SP,501-0166,1980,"(1994)
1997-1999",C501,"N2614C, N476X,  I-CIPA, (N30AF), (OY-INI), OY-INI Jet Plane Corp., N166FA"
OY-LOG,Ultramagic M-77C,77/195,2001,2006,BALL,"HB-QJZ, OY-LOG Det Nødvendige Seminarium"
OY-FRO,Piper PA-28-151  Warrior,28-7515428,1975,1995-2006,P28A,"SE-GLD, OY-FRO, crashed 21.7.2005 Älmhult, Sweden"
OY-JAV,Piper PA-28-181  Archer III,2843093,1997,1997-2006,P28A,"OY-JAV, OO-SAG"
OY-BGU,Piper PA-34-200  Seneca,34-7450072,1973,1974-1978,PA34,"OY-BGU, (G-EXXC), G-EXEC"
OY-XYS,Scheibe SF-25C Falke,44696,2004,"2004-2004,
2006-",SF25,"D-KBCJ, (SE-UNR), (SE-UDK), OY-XYS, SE-UDK, OY-XYS competition number YS"
OY-PLC,Pilatus PC-6/B2-H4 TurboPorter,948,2005,,PC6T,"HB-FMT, (OY-PLC) solgt via Air Alpha A/S som PK-RCS"
OY-DAY,KZ II Sport,17,1939,,KZ2,"(OY-DAY), SE-ALO, crashed 16.8.1950 Vännäs"
OY-GAA,Grumman-American AA-5 Traveler,AA5-0475,1973,"1976-1994
2007",AA5,"(N7175L), OY-GAA, damaged 16.6.1990, CofA expired  1990, restored 2006"
OY-DNR,de Havilland D.H.82A Tiger Moth,82104,1939,1969-1979,DH82,"N6849, G-AHRV, OY-DNR, damaged 14.11.1973 Kildebrønde. Renovated at Megiddo, Israel 2008 as 4X-AAA. The aircraft represents those 3 planes (G-ACYN c/n 3314, VQ-PAT c/n 1747 and VQ-PAU c/n 1653) that served in Israel during the years 1938-1948."
OY-DVF,Gardan GY-80  Horizon 160,34,1964,1972-1989,GY80,"OE-DFY, OY-DVF, crashed 19.6.1989 Endelave.
Grängesberg, Sweden 2013."
OY-ANT,Cessna 182P Skylane,18263554,1975,1975-1980,C182,"N5820J, OY-ANT, SE-GXY, G-CDXI"
OY-RTA,Aeritalia/SNIAS ATR 72-201,260,1991,2004-2005,AT72,"F-WWEH, EC-873, EC-FIV, F-WQNB, OY-RTA Cimber Air, EI-REH"
OY-CGI,Piper PA-34-220T  Seneca III,34-8133061,1981,1986-1987,PA34,"N8371J, OY-CGI, SE-IYR, D-GJFN, D-GIAO"
OY-ARN,Piper PA-61-601P Aerostar,"61P-0654-
7963303",1979,1979-1982,AEST,"(N8250J), OY-ARN, N28959, N680S"
OY-AII,Dornier Do 28A-1,3012,1961,"1961-1980, 1982-1983",DO28,"D-IBAH, OY-AII Nordisk Mineselskab, Falcks Flyvetjeneste, Dansk Luftfart Service, Nordisk Mineselskab, CofA expired  1976, OY-AII, N841RS"
OY-XTD,Schleicher Ka 7 Rhönadler,7059/A,1967,1989-2000,,"D-5472, OY-XTD, competition number TD, HA-5053"
OY-PRE,Rockwell Commander 112A,480,1976,1976-2012,AC11,"(N1480J), OY-PRE Air Service Vamdrup, damaged 22.9.2004 at Billund, SE-MCO"
OY-DMF,Cessna 182G Skylane,18255461,1964,1964-1980,C182,"(N2361R), OY-DMF. Damaged in storm 24.12.1977 Roskilde"
OY-BMU,Jodel D.112,1463,1975,1975-2003,D11,
OY-JJF,Van's RV-4,,,,RV4,
OY-HMK,Robinson R44 Clipper II,11008,2005,2006,R44,"GE Capital Equipment Finance, Boston Distribution A/S"
OY-HLK,Robinson R22 Beta,0086,1980,1997,R22,"D-HHOI, OY-HLK"
OY-AKO,Cessna 414,414-0097,1970,"1970-1975, 1977-1978",C414,"(N8197Q), OY-AKO, LN-VIS, OY-AKO, N2293F"
OY-ADZ,R.W.F. RW-3P-75 Multoplane,003,1958,1960-1960,,"D-ELOR, OY-ADZ, crashed 15.5.1960 Nakskov"
OY-FCM,Fokker F.27  Friendship 600,10409,1969,1997-1997,F27,"PH-FOH, PK-GFE, PH-FOH, (TY-AAG), TY-ATM, TY-BBI, PH-EXX, F-SEBG, OY-FCM Eastern Trade Wings, I-FSTK. Stored Bergamo 2006"
OY-ASV,Cessna 550 Citation II,550-0052,1979,1979-1979,C550,"N4620G, (OO-LFX), OY-ASV, N90MJ, (N500CD), N534MW, N67TM, PH-CTZ, N550DR, N302SJ"
OY-EDB,British Aerospace BAe 3103 Jetstream,610,1983,1992-1996,JS31,"G-31-50, D-CONI, SE-KHC, OY-EDB Sun-Air, SE-KHC, D-CNRY, Mönchengladbach 2003, G-JXTA"
OY-CTJ,Beech 200 Super King Air,BB-619,1980,1988-1988,BE20,"YV-350CP, N4255E, N10PC, LN-MOD, 
OY-CTJ Business Flight, Fv101003/F7-013, SE-KXN, 5Y-RJA"
OY-SUY,Short S.C.7  Skyvan Srs. 3,SH 1959,1978,1988-1993,SC7,"G-14-127, G-BFUI, FAP 300, HP-300, N1959, N1959S, OY-SUY Sun-Air, 8R-GMC, crashed 8.11.2003 after takeoff from  Georgetown"
OY-RPC,Cessna 172A,47352,1960,1960-1980,C172,"(N7752T), OY-RPC, crashed 9.2.1975 Svaneke"
OY-DML,KZ VIIU-5/U-10 Lærke,163,1947,1965-2003,KZ7,"LN-RAE, damaged 25.11.1964 Drevsjøen, rebuilt with 145 HP-engine as U-10, OY-DML, crashed 12.2.1989 Fornebu, cancelled. Wreck in Kjeller."
OY-EAC,Stark Turbulent D,136,1960,1961-1966,D31,"D-EKYV, OY-EAC. Crashed 23.11.1965 Vetlanda, Sweden"
OY-EAA,Stark Turbulent D,130,1959,1960-1964,D31,"(D-ENYX), OY-EAA, LN-AET, cancelled 1977, stored Vestby, SV of Oslo"
OY-AYT,Cessna 414,414-0275,1972,1972-1975,C414,"N1560T, OY-AYT, SE-GCX, D-IEFA, crashed 30.3.1979 Ebersberg at München"
OY-MST,Piper PA-31-310  Navajo B,31-7300967,1973,1992,PA31,"N7571L, G-BBMK, G-BNDD, OY-MST  Danish Air Service"
OY-KGR,McDonnell-Douglas DC-9-41,"47725
831",1976,1976-2003,DC94,"OY-KGR SAS ""Holger Viking"", TT52427H, 65307C, N325FV, Roswell 2005, scrapped"
OY-AAB,Douglas DC-3 (C-47A-10-DK),12422,1942,1946-1950,DC3,"42-92603, KG392, OY-AAB DDL, OY-KLA SAS ""Regnar Viking"", F-OAID, F-BIID, TR-LML, N117RR"
OY-TCB,Cessna 208B Grand Caravan,208B0302,1992,1992-1994,C208,"N1002D, OY-TCB, LN-PBB, overran on landing 6.9.1999 at Sumburgh, Shetland Islands. N4YA, JA881B"
OY-BHT,Embraer EMB-110 P2 Bandeirante,110161,1978,1986,E110,"PT-GLH, G-CELT, N4942S, N891AC, OY-BHT, Muk Air,  Scan Con Airways, Steenberg Aviation, Baltic Air Service ApS, wfu, scrapped EKRN"
OY-KHR,McDonnell-Douglas MD-81/MD-82,"53275
1896",1991,1991-2010,MD82,"OY-KHR SAS ""Torkild Viking"", stored Stockholm-Arlanda 2009, N421NV stored at Kingman AZ 2010"
OY-GGR,Cessna 525A CitationJet II,525A-0216,2004,2004-2005,C525,"N51246, OY-GGR FlyJet, EC-JMS, N188JB, N788JS"
OY-SBO,Boeing 727-2K3,"22770
1807",1983,1987-1998,B722,"(RP-1741), CP-1741, N776AL, OY-SBO Sterling Airways, N891DB, N291SC, cancelled 2013 Broken up Smyrna, TN 2005."
OY-PRA,Piper PA-28R-180 Cherokee Arrow,28R-30464,1968,1976-2007,P28R,"SE-FCE, OY-PRA, Scandinavian Aviation Trading Center, (""OY-PRAL""), SE-FCE"
OY-BGK,Piper PA-31-350 Chieftain,31-7305019,1973,1973-1988,PA31,"Muk Air, crashed 6.10.1987 Fuglslev at Tirstrup"
OY-RYA,Learjet 24,24-109,1966,1972-1973,LJ24,"HB-VAS, OY-RYA, SE-DCW, (F-GBBV), N900DL, XA-NLK, wfu 2012"
OY-BCO,Nord 262A-27,33,1967,1967-1977,N262,"F-WNDD, OY-BCO, (D-CIMC), OY-BCO Cimber Air, N274A, HR-ARP"
OY-DHW,Fokker F.27  Friendship 600,10396,1969,"1969-1972, 1976-1976",F27,"PH-FNU, OY-DHW Danish Aero Lease, Maersk, EC-CAU, OY-DHW Danish Aero Lease, PK-JFH, PH-SFH, PK-JFH. Withdrawn from use 10.1997 Jakarta, broken up 10.2001"
OY-FAN,KZ II Træner,110,1946,1955-1980,KZ2,"110, 11-102, OY-FAN, Dansk Veteranflysamling. Wings and tail unit mounted on c/n 119/OY-FAE fuselage. On display at Stauning 1994. OY-FAN fuselage stored in Beldringe"
OY-DYZ,KZ IIIU-3,56,1946,"1946-1956 
1969-1979
2004",KZ3,"OY-DYZ Zone Redningskorpset, D-EFID, OY-DYZ, CofA expired 1972, restored. Damaged in an emergency landing Kibæk 1.6.2009. Aeronautisk Aktivitetscenter Avedøre
Danmarks Flymuseum, Stauning"
OY-FAE,KZ II Træner,119,1946,"1955-1985 
2010",KZ2,"119, 11-111, OY-FAE, with fuselage from c/n 113 OY-ADM. CofA expired 1979. From 1994 the original fuselage c/n 119 was on display in Stauning with wings and tail unit from OY-FAN"
OY-BYN,Swearingen SA226-TC Metro II,TC-204,1973,1985-1995,SW4,"N5304M, OY-BYN, Muk Air, Danish Air Transport, N81969, C-GSWB. Withdrawn from use Bates City, MO 2005"
OY-DFS,Hawker Siddeley H.S.748-214,1576,1965,1970-1970,A748,"G-ATAM, XA-SEI, PI-C1020, G-ATAM,  9G-ABV,  G-ATAM, OY-DFS Maersk Air, G-ATAM, 9J-ABL, ZS-HBA, G-ATAM, TR-LQY, C-GMAA. Withdrawn from use Thunder Bay 2005"
OY-CNT,McDonnell-Douglas DC-10-10,"47833
322",1980,1995-2001,DC10,"N915WA, SE-DHT, OY-CNT Premiair ""Dumbo"", (G-YLBM), (G-TDTW), N833AA. Broken up Manston-Bournemouth 2001"
OY-STO,Fokker F.27  Friendship 500,10341,1968,1968-1973,F27,"PH-FLM, OY-STO Sterling Airways, VH-EWO, PH-EXM, N272FA, PT-LAL, PH-FLM, (D-AFGA), HA-FAC, scrapped 2012"
OY-RPL,Cessna 421B Golden Eagle,421B0368,1973,1972-1978,C421,"(N8055Q), OY-RPL, G-KACT, G-NAIR, G-BLOH, G-JOES, PH-SYG, destroyed by delibeately started fire 30.11.1994 Coburg, Germany"
OY-XMY,Grob G-103A Twin II Acro,3743-K-49,1983,1984,,"D-0820, OY-XMY, competition number MY"
OY-ENG,Piper PA-32R-300 Cherokee Lance,32R-7680115,1976,1993-1998,P32R,"SE-GDS, OY-ENG, crashed 8.9.1996 Tårup south of Nyborg"
OY-XUS,Glaser-Dirks DG-800B,8-84B21,1996,2002,DG80,"D-KCHD, OY-XUS, competition number S, D"
OY-DNO,Auster J/1 Autocrat,2110,1946,"1946-1950
1951",J1,"Crashed 23.12.1950 Storebælt. Rebiuld with  parts from other planes, only tail wheel reused. Wings from OY-DNY. ""Søhesten"". Damaged aug. 2010 - got tail wheel from OY-DSV"
OY-LSX,Glaser-Dirks DG-400,4-224,1988,2005,DG40,"D-KEIT(1), G-DGCD, OY-LSX 
competition number C1"
OY-LAX,Centrair 101A Pegase,101.A0.250,1986,2002,,"F-CGNU, OY-LAX, competition number LA Kolding Flyveklub"
OY-XYR,Centrair 101A Pegase,101.A0.276,1987,1987-2003,,"OY-XYR competition number YR, SE-UNN"
OY-XNU,Centrair 101A Pegase,101.A0.208,1985,1985,,Competition number NU
OY-PEA,Piper PA-34-200T  Seneca II,34-7570128,1975,1989-1994,PA34,"N33531, OY-PEA, G-BVUL, I-BVUL"
OY-XNK,Tovarna Sportnega Crodja DG-300 Elan,3E64,1985,1985-2000,,"Competition number NK, N19EF"
OY-XCS,Schleicher Ka 7 Rhönadler,86/58,1961,1975-2000,,"D-5681, OY-XCS, competition number M9, N6159M"
OY-XCR,PIK-20,20043,1975,1975-2000,,"OY-XCR, competition number M1, N995RJ"
OY-VXW,Glasflügel H-205 Club Libelle,43,1975,1975-2000,,"Competition number A7, N2520U"
OY-EKX,Schleicher K.8B,8649,1966,1966-2000,,"OY-EKX, competition number  M4, N6256J"
OY-XPI,Glaser-Dirks DG-300 Elan,3E285,1988,1988-2001,,"OY-XPI, competition number PI, D-9410"
OY-XOC,Schleicher ASK 21,21276,1985,1986-2001,,"Competition number L9, D-9921"
OY-XPJ,Schleicher ASK 13,13423,1973,1988-2001,,"D-2125, OY-XPJ, BGA 4906, BGA 4906/JZE, G-CJZE"
OY-XLE,Schleicher Ka 6CR Rhönsegler,6384,1965,1981-2002,,"OO-ZAA, D-0071, OY-XLE, competition number 09, LE, HA-5060"
OY-XJX,PIK-20D,20521,1977,1978-2002,,"D-4778, OY-XJX, competition number X6, C-GMNY"
OY-VXY,Schleicher Ka 6CR Rhönsegler,6043,1962,1973-2002,,"D-6821, OY-VXY, competition number F2, N458BK"
OY-DXB,Schleicher Ka 6E Rhönsegler,4207,1968,1968-2002,,"OY-DXB competition number 16, N166E"
OY-BKI,Piper PA-23-250 Turbo Aztec C,27-3207,1966,1968-2002,PA27,"N6023Y, D-IMUN, OY-BKI, Mekanikerskolen Ljungbyhed"
OY-XIC,Grob G-103 Twin Astir,3049,1978,1978-2003,,"OY-XIC competition number 53, D-4155"
OY-XBD,Glasflügel H-201B Standard Libelle,354,1972,1973-2004,,"OY-XBD competition number 82, D-8222"
OY-TFB,Beech A36 Bonanza,E-3003,1996,1997-2005,BE36,"N821SA, OY-TFB Aviation Assistance, F-HAGL"
OY-PHG,Piper PA-32R-301T Saratoga II TC,3257364,2004,2005-2005,P32R,"OY-PHG Air Alpha, F-HBAT, HB-PRD"
OY-HEX2,Schleicher ASW 24,24075,1990,1993-2003,,"D-9022, OY-HEX competition number HX, D-9024, EC-"
OY-FRX,Burglengenfeld Bergfalke II,316,1954,1969-1986,,"D-7085, OY-FRX, crashed 7.7.1985 Ferslev, Aalborg"
OY-ESX,Burglengenfeld Bergfalke II/55,160,1953,1959-1980,,"D-4002, OY-ESX, LN-GLT, stored Hokksund until 1982, cancelled 11.1982, fate unknown"
OY-XMP,Grob G-109,6146,1983,1983-1992,G109,"OY-XMP, damaged 24.11.1984 Hornum. Repaired using front section of G-BKNJ c/n 6154, D-KARP, VH-KFP"
OY-SBD,Boeing 727-2J4,"21676
1417",1978,1978-1980,B722,"OY-SBD Sterling Airways, G-BHNE, N285SC, expired 1991, stored Opa-Locka, Florida 2004"
OY-SBC,Boeing 727-2J4,"21438
1301",1977,1977-1980,B722,"OY-SBC Sterling Airways, G-BHNF, N284SC, stored Opa-Locka, Florida 2003, cancelled 2013"
OY-SBB,Boeing 727-2J7,"20707
953",1973,1975-1976,B722,"N553PS, OY-SBB Sterling Airways, N553NA. Stored  Opa Locka, Florida 2002, withdrawn from use."
OY-SBA,Boeing 727-2J7,"20706
949",1973,1975-1976,B722,"N552PS, OY-SBA Sterling Airways, N552NA, XA-TRB, N552NA, stored Opa-Locka, Florida 2002, broken up."
OY-KDA,McDonnell-Douglas DC-10-30,"46870
217",1975,1975-1989,DC10,"OY-KDA SAS ""Gorm Viking"", F-GHOI, broken up Opa-Locka, Florida 2004"
OY-BAM,de Havilland D.H.114 Heron 2,14083,1955,1965-1969,HERN,"VR-NCB, I-AOVI, OY-BAM Cimber Air, N569PR, broken up 1983 Opa-Locka, Florida"
OY-JRW (1),GAF N24A Nomad,117,1981,1999-2004,NOMA,"(VH-AUR(2)),VH-PGW, (N415NE),VH-PGW,ZK-ECM,VH-KNA,
OY-JRW, crashed 13.4.2002 RAF Weston-On-The-Green, Oxfordshire, UK. Wreck in Vamdrup"
OY-CCB,Mitsubishi MU-300 Diamond 1A,A037SA,1982,1987-1987,MU30,"N327DM, OY-CCB, LN-SJA, N109TW, N134RG. Withdrawn from use Bates City, MO 2005"
OY-CPK,Cessna 500 Citation,500-0267,1975,1986-1993,C500,"N5267J, N28PA, N1UT, N626P, OY-CPK, N70704, N41SH, N401RD. Withdrawn from use Rantoul, Kansas 2005"
OY-XRR,Schempp-Hirth HS-6 Janus C,257,1989,1989-,,"Competition number RR, damaged 8.7.1989 Kongsted, F-CJAN"
OY-CED,Piper PA-31-310  Navajo C,31-7912017,1978,1984-1989,PA31,"N27840, LN-BGC, OY-CED, G-SEAS, crashed 15.8.1993 near Guilford, Surrey, UK"
OY-GRB,Beech B200Super King Air,BB-845,1981,1990-2005,BE20,"N38535, N486DC, OY-GRB Aviation Assistance, EC-JJP"
OY-NPB,Swearingen SA226-AT Merlin IVA,AT-062 ex TC-243,1997,(1993),SW4,"N5446M, D-IFAD, (F-GBBB), YU-ALF, OO-VGD, (OY-NPB), OY-FFD Fl. Frandsen, N548SM, OY-FFD Air Transport, EC-125, EC-GFK"
OY-FFD,Swearingen SA226-AT Merlin IVA,AT-062 ex TC-243,1977,"1993-1993 
1994-1995",SW4,"N5446M, D-IFAD, (F-GBBB), YU-ALF, OO-VGD, (OY-NPB), OY-FFD Fl. Frandsen, N548SM, OY-FFD Air Transport, EC-125, EC-GFK"
OY-NPC (1),Swearingen SA226-AT Merlin IVA,AT-066,1978,(1993),SW4,"N5455M, D-IBAB, YU-ALG, OO-VGC, (OY-NPC), OY-FFE Fl. Frandsen, N545SM, C-FTIX, N5FY, EC-JQC, scrapped 2019"
OY-XLZ,Grob G-103 Twin II,3697,1982,1982,,"Competition number  LZ, damaged 7.1992, damaged 8.6.2002 at landing west of Vøjstrup airstrip"
OY-BIV,Reims Cessna F.337G Super Skymaster,F33700064/33701552,1974,"1976-1979 
1984-2002",C337,"N14500, OY-BIV, LN-NPE, OY-BIV, SP-KMK"
OY-XIF,Glasflügel  H-303 Mosquito,61,1977,1977-2005,,"OY-XIF competition number W6, PH-1336, D-9562/IMO"
OY-CMO,Jodel D.112 Mod.,0191-1445,1994,1997-2005,D11,"OY-CMO, SE-XYL crashed 3.10.2007 Eslöv"
OY-XBP,Pilatus B4-PC11/B4-PC11AF,054,1973,1973,,Competition number 90
OY-SAK,Sud SE-210  Caravelle 6R,99,1961,1971-1978,S210,"N1014U, OY-SAK  Sterling Airways ""City of Athens"", F-GAPA, broken up 1986 Nîmes-Garons"
OY-AND,Douglas DC-7B,"45404
890",1957,1966-1969,DC7,"N357AA, OY-AND Internord, SE-ERR, broken up 1970 Nîmes-Garons, France"
OY-ANC,Douglas DC-7B,"45399
858",1957,1965-1969,DC7,"N346AA, OY-ANC Internord, SE-EDU, broken up 1973 Nîmes-Garons, France"
OY-ANA,Douglas DC-7B,"45402
882",1957,1965-1969,DC7,"N349AA, OY-ANA Aero-Nord, SE-ERO, F-OCPZ,  F-BTAY, broken up 1973 Nîmes-Garons, France"
OY-SBY,Sud SE-210  Caravelle 6R,94,1961,1972-1975,S210,"N1009U, OY-SBY  Sterling Airways ""City of Rome"", F-BUZC. Withdrawn from use 1.1986 Nîmes-Garons, broken up 1999"
OY-BAA,Piper PA-23-250  Aztec B,27-2398,1963,1964-1967,PA27,"N5322Y, SE-ECU, OY-BAA, LN-VYS damaged in Split, Yugoslavia August 1988"
OY-TRO,Cessna 150E,15060848,1964,1964-1965,C150,"(N6148T), (SE-EAS), OY-TRO, SE-ETT, damaged 22.8.1986 Tynningö, crashed 23.7.2001 Frölunda"
OY-TRK,MFI-9B Trainer,026,1964,1965-1966,JUNR,"(SE-EFN), OY-TRK, SE-EFT. Damaged in a collision with a car 23.7.1968 Varberg"
OY-AIT,Piper PA-18A-150 Super Cub,18-2695,1954,1961-1964,PA18,"N1499C, PH-NGD, OY-AIT, SE-EIG, crashed 12.6.1978. (Repaired with parts from 18-1372 51-15372, ALAT 181372/F-MCBR, OO-HMM)  
LN-TSQ, SE-FON, N123SA"
OY-ABP,Tipsy T.66 Nipper Mk. 2,22,1959,1960-1963,NIPR,"OY-ABP, damaged 4.3.1963 Rügen, Germany. To be restored as SE-EGC"
OY-AGM (1),Cessna 177A Cardinal,17701340,1969,,C177,"N30579, (OY-AGM), (LN-FAK), SE-FKO, damaged at landing 30.04.2000 Backamo, Sweden. N707XJ"
OY-DED,Fokker F.VIIa,5054,1928,1930-1946,,"CH-158, OY-DED, DDL ""Esbjerg"", SE-ASE, OY-ASE, on display at Aviodome as ""H-NACT"", ""H-NADP"", ""Pieter Yperlaan"""
